Vaagmer_n._ The dealfish.
Vail_v. i._ To yield or recede; to give place; to show respect by yielding, uncovering, or the like.
Vail_n._ Submission; decline; descent.
Vailer_n._ One who vails.
Vaimure_n._ An outer, or exterior. wall. See Vauntmure.
Vain_superl._ Having no real substance, value, or importance; empty; void; worthless; unsatisfying._ Destitute of forge or efficacy; effecting no purpose; fruitless; ineffectual; as, vain toil; a vain attempt._ Proud of petty things, or of trifling attainments; having a high opinion of one's own accomplishments with slight reason; conceited; puffed up; inflated._ Showy; ostentatious.
Vain_n._ Vanity; emptiness; -- now used only in the phrase in vain.
Vainglorious_a._ Feeling or indicating vainglory; elated by vanity; boastful.
Vainglory_n._ Excessive vanity excited by one's own performances; empty pride; undue elation of mind; vain show; boastfulness.
Vainly_adv._ In a vain manner; in vain.
Vainness_n._ The quality or state of being vain.
Vair_n._ The skin of the squirrel, much used in the fourteenth century as fur for garments, and frequently mentioned by writers of that period in describing the costly dresses of kings, nobles, and prelates. It is represented in heraldry by a series of small shields placed close together, and alternately white and blue.
Vairy_n._ Charged with vair; variegated with shield-shaped figures. See Vair.
Vaishnava_n._ A worshiper of the god Vishnu in any of his incarnations.
Vaishnavism_n._ The worship of Vishnu.
Vaisya_n._ The third of the four great original castes among the Hindus, now either extinct or partially represented by the mercantile class of Banyas. See the Note under Caste, 1.
Vaivode_n._ See Waywode.
Vakeel_n._ A native attorney or agent; also, an ambassador.
Valance_n._ Hanging drapery for a bed, couch, window, or the like, especially that which hangs around a bedstead, from the bed to the floor._ The drooping edging of the lid of a trunk. which covers the joint when the lid is closed.
Valanced_imp. & p. p._ of Valance
Valancing_p. pr. & vb. n._ of Valance
Valance_v. t._ To furnish with a valance; to decorate with hangings or drapery.
Vale_n._ A tract of low ground, or of land between hills; a valley._ See 2d Vail, 3.
Valediction_n._ A farewell; a bidding farewell.
Valedictorian_n._ One who pronounces a valedictory address; especially, in American colleges, the student who pronounces the valedictory of the graduating class at the annual commencement, usually the student who ranks first in scholarship.
Valedictory_a._ Bidding farewell; suitable or designed for an occasion of leave-taking; as, a valedictory oration.
Valedictories_pl. _ of Valedictory
Valedictory_n._ A valedictory oration or address spoken at commencement in American colleges or seminaries by one of the graduating class, usually by the leading scholar.
Valence_n._ The degree of combining power of an atom (or radical) as shown by the number of atoms of hydrogen (or of other monads, as chlorine, sodium, etc.) with which it will combine, or for which it can be substituted, or with which it can be compared; thus, an atom of hydrogen is a monad, and has a valence of one; the atoms of oxygen, nitrogen, and carbon are respectively dyads, triads, and tetrads, and have a valence respectively of two, three, and four.
Valencia_n._ A kind of woven fabric for waistcoats, having the weft of wool and the warp of silk or cotton.
Valenciennes lace__ A rich kind of lace made at Valenciennes, in France. Each piece is made throughout, ground and pattern, by the same person and with the same thread, the pattern being worked in the net.
Valencies_pl. _ of Valency
Valency_n._ See Valence._ A unit of combining power; a so-called bond of affinity.
Valentia_n._ See Valencia.
Valentine_n._ A sweetheart chosen on St. Valentine's Day._ A letter containing professions of love, or a missive of a sentimental, comic, or burlesque character, sent on St. Valentine's Day.
Valentinian_n._ One of a school of Judaizing Gnostics in the second century; -- so called from Valentinus, the founder.
Valeramide_n._ The acid amide derivative of valeric acid, obtained as a white crystalline substance.
Valerate_n._ A salt of valeric acid.
Valerian_n._ Any plant of the genus Valeriana. The root of the officinal valerian (V. officinalis) has a strong smell, and is much used in medicine as an antispasmodic.
Valerianaceous_a._ Of, pertaining to, or resembling, plants of a natural order (Valerianaccae) of which the valerian is the type. The order includes also the corn salads and the oriental spikenard.
Valerianate_n._ A valerate.
Valerianic_a._ Performance to, or obtained from, valerian root; specifically, designating an acid which is usually called valeric acid.
Valeric_a._ Valerianic; specifically, designating any one of three metameric acids, of which the typical one (called also inactive valeric acid), C4H9CO2H, is obtained from valerian root and other sources, as a corrosive, mobile, oily liquid, having a strong acid taste, and an odor of old cheese.
Valeridine_n._ A base, C10H19N, produced by heating valeric aldehyde with ammonia. It is probably related to the conine alkaloids.
Valerin_n._ A salt of valeric acid with glycerin, occurring in butter, dolphin oil., and forming an forming an oily liquid with a slightly unpleasant odor.
Valeritrine_n._ A base, C15H27N, produced together with valeridine, which it resembles.
Valero-__ A combining form (also used adjectively) indicating derivation from, or relation to, valerian or some of its products, as valeric acid; as in valerolactone, a colorless oily liquid produced as the anhydride of an hydroxy valeric acid.
Valerone_n._ A ketone of valeric acid obtained as an oily liquid.
Valeryl_n._ The hypothetical radical C5H9O, regarded as the essential nucleus of certain valeric acid derivatives.
Valerylene_n._ A liquid hydrocarbon, C5H8; -- called also pentine.
Valet_n._ A male waiting servant; a servant who attends on gentleman's person; a body servant._ A kind of goad or stick with a point of iron.
Valetudinarian_a._ Of infirm health; seeking to recover health; sickly; weakly; infirm.
Valetudinarian_n._ A person of a weak or sickly constitution; one who is seeking to recover health.
Valetudinarianism_n._ The condition of a valetudinarian; a state of feeble health; infirmity.
Valetudinary_a._ Infirm; sickly; valetudinarian.
Valetudinary_n._ A valetudinarian.
Valetudinous_a._ Valetudinarian.
Valhalla_n._ The palace of immortality, inhabited by the souls of heroes slain in battle._ Fig.: A hall or temple adorned with statues and memorials of a nation's heroes; specifically, the Pantheon near Ratisbon, in Bavaria, consecrated to the illustrious dead of all Germany.
Valiance_n._ Alt. of Valiancy
Valiancy_n._ The quality or state of being valiant; bravery; valor.
Valiant_a._ Vigorous in body; strong; powerful; as, a valiant fencer._ Intrepid in danger; courageous; brave._ Performed with valor or bravery; heroic.
Valid_a._ Strong; powerful; efficient._ Having sufficient strength or force; founded in truth; capable of being justified, defended, or supported; not weak or defective; sound; good; efficacious; as, a valid argument; a valid objection._ Having legal strength or force; executed with the proper formalities; incapable of being rightfully overthrown or set aside; as, a valid deed; a valid covenant; a valid instrument of any kind; a valid claim or title; a valid marriage.
Validate_v. t._ To confirm; to render valid; to give legal force to.
Validation_n._ The act of giving validity.
Validity_n._ The quality or state of being valid; strength; force; especially, power to convince; justness; soundness; as, the validity of an argument or proof; the validity of an objection._ Legal strength, force, or authority; that quality of a thing which renders it supportable in law, or equity; as, the validity of a will; the validity of a contract, claim, or title._ Value.
Validly_adv._ In a valid manner; so as to be valid.
Validness_n._ The quality or state of being valid.
Valinch_n._ A tube for drawing liquors from a cask by the bunghole.
Valise_n._ A small sack or case, usually of leather, but sometimes of other material, for containing the clothes, toilet articles, etc., of a traveler; a traveling bag; a portmanteau.
Valkyria_n._ One of the maidens of Odin, represented as awful and beautiful, who presided over battle and marked out those who were to be slain, and who also ministered at the feasts of heroes in Valhalla.
Valkyrian_a._ Of or pertaining to the Valkyrias; hence, relating to battle.
Vallancy_n._ A large wig that shades the face.
Vallar_a._ Of or pertaining to a rampart.
Vallar_n._ A vallar crown.
Vallary_a._ Same as Vallar.
Vallation_n._ A rampart or intrenchment.
Vallatory_a._ Of or pertaining to a vallation; used for a vallation; as, vallatory reads.
Valleculae_pl. _ of Vallecula
Vallecula_n._ A groove; a fossa; as, the vallecula, or fossa, which separates the hemispheres of the cerebellum._ One of the grooves, or hollows, between the ribs of the fruit of umbelliferous plants.
Vallet's pills__ Pills containing sulphate of iron and carbonate of sodium, mixed with saccharine matter; -- called also Vallet's mass.
Valleys_pl. _ of Valley
Valley_n._ The space inclosed between ranges of hills or mountains; the strip of land at the bottom of the depressions intersecting a country, including usually the bed of a stream, with frequently broad alluvial plains on one or both sides of the stream. Also used figuratively._ The place of meeting of two slopes of a roof, which have their plates running in different directions, and form on the plan a reentrant angle._ The depression formed by the meeting of two slopes on a flat roof.
Valla_pl. _ of Vallum
Vallums_pl. _ of Vallum
Vallum_n._ A rampart; a wall, as in a fortification.
Valonia_n._ The acorn cup of two kinds of oak (Quercus macrolepis, and Q. vallonea) found in Eastern Europe. It contains abundance of tannin, and is much used by tanners and dyers._ A genus of marine green algae, in which the whole frond consists of a single oval or cylindrical cell, often an inch in length.
Valor_n._ Value; worth._ Strength of mind in regard to danger; that quality which enables a man to encounter danger with firmness; personal bravery; courage; prowess; intrepidity._ A brave man; a man of valor.
Valorous_a._ Possessing or exhibiting valor; brave; courageous; valiant; intrepid.
Valsalvian_a._ Of or pertaining to Valsalva, an Italian anatomist of the 17th century.
Valuable_a._ Having value or worth; possessing qualities which are useful and esteemed; precious; costly; as, a valuable horse; valuable land; a valuable cargo._ Worthy; estimable; deserving esteem; as, a valuable friend; a valuable companion.
Valuable_n._ A precious possession; a thing of value, especially a small thing, as an article of jewelry; -- used mostly in the plural.
Valuableness_n._ The quality of being valuable.
Valuably_adv._ So as to be of value.
Valuation_n._ The act of valuing, or of estimating value or worth; the act of setting a price; estimation; appraisement; as, a valuation of lands for the purpose of taxation._ Value set upon a thing; estimated value or worth; as, the goods sold for more than their valuation.
Valuator_n._ One who assesses, or sets a value on, anything; an appraiser.
Value_n._ The property or aggregate properties of a thing by which it is rendered useful or desirable, or the degree of such property or sum of properties; worth; excellence; utility; importance._ Worth estimated by any standard of purchasing power, especially by the market price, or the amount of money agreed upon as an equivalent to the utility and cost of anything._ Precise signification; import; as, the value of a word; the value of a legal instrument_ Esteem; regard._ The relative length or duration of a tone or note, answering to quantity in prosody; thus, a quarter note [/] has the value of two eighth notes [/]._ In an artistical composition, the character of any one part in its relation to other parts and to the whole; -- often used in the plural; as, the values are well given, or well maintained._ Valor.
Valued_imp. & p. p._ of Value
Valuing_p. pr. & vb. n._ of Value
Value_v. t._ To estimate the value, or worth, of; to rate at a certain price; to appraise; to reckon with respect to number, power, importance, etc._ To rate highly; to have in high esteem; to hold in respect and estimation; to appreciate; to prize; as, to value one for his works or his virtues._ To raise to estimation; to cause to have value, either real or apparent; to enhance in value._ To be worth; to be equal to in value.
Valued_a._ Highly regarded; esteemed; prized; as, a valued contributor; a valued friend.
Valueless_a._ Being of no value; having no worth.
Valuer_n._ One who values; an appraiser.
Valure_n._ Value.
Valvasor_n._ See Vavasor.
Valvata_n._ A genus of small spiral fresh-water gastropods having an operculum.
Valvate_a._ Resembling, or serving as, a valve; consisting of, or opening by, a valve or valves; valvular._ Meeting at the edges without overlapping; -- said of the sepals or the petals of flowers in aestivation, and of leaves in vernation._ Opening as if by doors or valves, as most kinds of capsules and some anthers.
Valve_n._ A door; especially, one of a pair of folding doors, or one of the leaves of such a door._ A lid, plug, or cover, applied to an aperture so that by its movement, as by swinging, lifting and falling, sliding, turning, or the like, it will open or close the aperture to permit or prevent passage, as of a fluid._ One or more membranous partitions, flaps, or folds, which permit the passage of the contents of a vessel or cavity in one direction, but stop or retard the flow in the opposite direction; as, the ileocolic, mitral, and semilunar valves._ One of the pieces into which a capsule naturally separates when it bursts._ One of the two similar portions of the shell of a diatom._ A small portion of certain anthers, which opens like a trapdoor to allow the pollen to escape, as in the barberry._ One of the pieces or divisions of bivalve or multivalve shells.
Valved_a._ Having a valve or valve; valvate.
Valvelet_n._ A little valve; a valvule; especially, one of the pieces which compose the outer covering of a pericarp.
Valve-shell_n._ Any fresh-water gastropod of the genus Valvata.
Valvulae_pl. _ of Valvula
Valvula_n._ A little valve or fold; a valvelet; a valvule.
Valvular_a._ Of or pertaining to a valve or valves; specifically (Med.), of or pertaining to the valves of the heart; as, valvular disease._ Containing valves; serving as a valve; opening by valves; valvate; as, a valvular capsule.
Valvule_n._ A little valve; a valvelet._ A small valvelike process.
Valylene_n._ A volatile liquid hydrocarbon, C5H6, related to ethylene and acetylene, but possessing the property of unsaturation in the third degree. It is the only known member of a distinct series of compounds. It has a garlic odor.
Vambrace_n._ The piece designed to protect the arm from the elbow to the wrist.
Vamose_v. i. & t._ To depart quickly; to depart from.
Vamp_v. i._ To advance; to travel.
Vamp_n._ The part of a boot or shoe above the sole and welt, and in front of the ankle seam; an upper._ Any piece added to an old thing to give it a new appearance. See Vamp, v. t.
Vamped_imp. & p. p._ of Vamp
Vamping_p. pr. & vb. n._ of Vamp
Vamp_v. t._ To provide, as a shoe, with new upper leather; hence, to piece, as any old thing, with a new part; to repair; to patch; -- often followed by up.
Vamper_n._ One who vamps; one who pieces an old thing with something new; a cobbler.
Vamper_v. i._ To swagger; to make an ostentatious show.
Vampire_n._ A blood-sucking ghost; a soul of a dead person superstitiously believed to come from the grave and wander about by night sucking the blood of persons asleep, thus causing their death. This superstition is now prevalent in parts of Eastern Europe, and was especially current in Hungary about the year 1730._ Fig.: One who lives by preying on others; an extortioner; a bloodsucker._ Either one of two or more species of South American blood-sucking bats belonging to the genera Desmodus and Diphylla. These bats are destitute of molar teeth, but have strong, sharp cutting incisors with which they make punctured wounds from which they suck the blood of horses, cattle, and other animals, as well as man, chiefly during sleep. They have a caecal appendage to the stomach, in which the blood with which they gorge themselves is stored._ Any one of several species of harmless tropical American bats of the genus Vampyrus, especially V. spectrum.  These bats feed upon insects and fruit, but were formerly erroneously supposed to suck the blood of man and animals. Called also false vampire.
Vampirism_n._ Belief in the existence of vampires._ The actions of a vampire; the practice of bloodsucking._ Fig.: The practice of extortion.
Vamplate_n._ A round of iron on the shaft of a tilting spear, to protect the hand.
Vamure_n._ See Vauntmure.
Van_n._ The front of an army; the first line or leading column; also, the front line or foremost division of a fleet, either in sailing or in battle._ A shovel used in cleansing ore.
Van_v. t._ To wash or cleanse, as a small portion of ore, on a shovel.
Van_n._ A light wagon, either covered or open, used by tradesmen and others fore the transportation of goods._ A large covered wagon for moving furniture, etc., also for conveying wild beasts, etc., for exhibition._ A close railway car for baggage. See the Note under Car, 2._ A fan or other contrivance, as a sieve, for winnowing grain._ A wing with which the air is beaten.
Van_v. t._ To fan, or to cleanse by fanning; to winnow.
Vanadate_n._ A salt of vanadic acid.
Vanadic_a._ Pertaining to, or obtained from, vanadium; containing vanadium; specifically distinguished those compounds in which vanadium has a relatively higher valence as contrasted with the vanadious compounds; as, vanadic oxide.
Vanadinite_n._ A mineral occurring in yellowish, and ruby-red hexagonal crystals. It consist of lead vanadate with a small proportion of lead chloride.
Vanadious_a._ Pertaining to, or containing, vanadium; specifically, designating those compounds in which vanadium has a lower valence as contrasted with the vanadic compounds; as, vanadious acid.
Vanadite_n._ A salt of vanadious acid, analogous to a nitrite or a phosphite.
Vanadium_n._ A rare element of the nitrogen-phosphorus group, found combined, in vanadates, in certain minerals, and reduced as an infusible, grayish-white metallic powder. It is intermediate between the metals and the non-metals, having both basic and acid properties. Symbol V (or Vd, rarely). Atomic weight 51.2.
Vanadous_a._ Of or pertaining to vanadium; obtained from vanadium; -- said of an acid containing one equivalent of vanadium and two of oxygen.
Vanadyl_n._ The hypothetical radical VO, regarded as a characterized residue of certain vanadium compounds.
Van-courier_n._ One sent in advance; an avant-courier; a precursor.
Vandal_n._ One of a Teutonic race, formerly dwelling on the south shore of the Baltic, the most barbarous and fierce of the northern nations that plundered Rome in the 5th century, notorious for destroying the monuments of art and literature._ Hence, one who willfully destroys or defaces any work of art or literature.
Vandal_a._ Alt. of Vandalic
Vandalic_a._ Of or pertaining to the Vandals; resembling the Vandals in barbarism and destructiveness.
Vandalism_n._ The spirit or conduct of the Vandals; ferocious cruelty; hostility to the arts and literature, or willful destruction or defacement of their monuments.
Vandyke_a._ Of or pertaining to the style of Vandyke the painter; used or represented by Vandyke.
Vandyke_n._ A picture by Vandyke. Also, a Vandyke collar, or a Vandyke edge.
Vandyke_v. t._ fit or furnish with a Vandyke; to form with points or scallops like a Vandyke.
Vane_n._ A contrivance attached to some elevated object for the purpose of showing which way the wind blows; a weathercock. It is usually a plate or strip of metal, or slip of wood, often cut into some fanciful form, and placed upon a perpendicular axis around which it moves freely._ Any flat, extended surface attached to an axis and moved by the wind; as, the vane of a windmill; hence, a similar fixture of any form moved in or by water, air, or other fluid; as, the vane of a screw propeller, a fan blower, an anemometer, etc._ The rhachis and web of a feather taken together._ One of the sights of a compass, quadrant, etc.
Vanessa_n._ Any one of numerous species of handsomely colored butterflies belonging to Vanessa and allied genera. Many of these species have the edges of the wings irregularly scalloped.
Vanessian_n._ A vanessa.
Vanfess_n._ A ditch on the outside of the counterscarp, usually full of water.
Vang_n._ A rope to steady the peak of a gaff.
Vanglo_n._ Benne (Sesamum orientale); also, its seeds; -- so called in the West Indies.
Vanguard_n._ The troops who march in front of an army; the advance guard; the van.
Vanilla_n._ A genus of climbing orchidaceous plants, natives of tropical America._ The long podlike capsules of Vanilla planifolia, and V. claviculata, remarkable for their delicate and agreeable odor, for the volatile, odoriferous oil extracted from them; also, the flavoring extract made from the capsules, extensively used in confectionery, perfumery, etc.
Vanillate_n._ A salt of vanillic acid.
Vanillic_a._ Pertaining to, or derived from, vanilla or vanillin; resembling vanillin; specifically, designating an alcohol and an acid respectively, vanillin being the intermediate aldehyde.
Vanillin_n._ A white crystalline aldehyde having a burning taste and characteristic odor of vanilla. It is extracted from vanilla pods, and is also obtained by the decomposition of coniferin, and by the oxidation of eugenol.
Vanilloes_n. pl._ An inferior kind of vanilla, the pods of Vanilla Pompona.
Vanillyl_n._ The hypothetical radical characteristic of vanillic alcohol.
Vaniloquence_n._ Vain or foolish talk.
Vanished_imp. & p. p._ of Vanish
Vanishing_p. pr. & vb. n._ of Vanish
Vanish_v. i._ To pass from a visible to an invisible state; to go out of sight; to disappear; to fade; as, vapor vanishes from the sight by being dissipated; a ship vanishes from the sight of spectators on land._ To be annihilated or lost; to pass away.
Vanish_n._ The brief terminal part of vowel or vocal element, differing more or less in quality from the main part; as, a as in ale ordinarily ends with a vanish of i as in ill, o as in old with a vanish of oo as in foot.
Vanishing__ a. & n. from Vanish, v.
Vanishment_n._ A vanishing.
Vanities_pl. _ of Vanity
Vanity_n._ The quality or state of being vain; want of substance to satisfy desire; emptiness; unsubstantialness; unrealness; falsity._ An inflation of mind upon slight grounds; empty pride inspired by an overweening conceit of one's personal attainments or decorations; an excessive desire for notice or approval; pride; ostentation; conceit._ That which is vain; anything empty, visionary, unreal, or unsubstantial; fruitless desire or effort; trifling labor productive of no good; empty pleasure; vain pursuit; idle show; unsubstantial enjoyment._ One of the established characters in the old moralities and puppet shows. See Morality, n., 5.
Vanjas_n._ The Australian pied crow shrike (Strepera graculina). It is glossy bluish black, with the under tail coverts and the tips and bases of the tail feathers white.
Vanner_n._ A machine for concentrating ore. See Frue vanner.
Vanner hawk__ The kestrel.
Vanning_n._ A process by which ores are washed on a shovel, or in a vanner.
Vanquished_imp. & p. p._ of Vanquish
Vanquishing_p. pr. & vb. n._ of Vanquish
Vanquish_v. t._ To conquer, overcome, or subdue in battle, as an enemy._ Hence, to defeat in any contest; to get the better of; to put down; to refute.
Vanquish_n._ A disease in sheep, in which they pine away.
Vanquishable_a._ That may be vanquished.
Vanquisher_n._ One who, or that which, vanquishes.
Vanquishment_n._ The act of vanquishing, or the state of being vanquished.
Vansire_n._ An ichneumon (Herpestes galera) native of Southern Africa and Madagascar. It is reddish brown or dark brown, grizzled with white. Called also vondsira, and marsh ichneumon.
Vant_v. i._ See Vaunt.
Vantage_n._ superior or more favorable situation or opportunity; gain; profit; advantage._ The first point after deuce.
Vantage_v. t._ To profit; to aid.
