O's_pl. _ of O
Obelisk_n._ An upright, four-sided pillar, gradually tapering as it rises, and terminating in a pyramid called pyramidion. It is ordinarily monolithic. Egyptian obelisks are commonly covered with hieroglyphic writing from top to bottom._ A mark of reference; -- called also dagger [/]. See Dagger, n., 2.
Obelisked_imp. & p. p._ of Obelisk
Obelisking_p. pr. & vb. n._ of Obelisk
Obelisk_v. t._ To mark or designate with an obelisk.
Obelized_imp. & p. p._ of Obelize
Obelizing_p. pr. & vb. n._ of Obelize
Obelize_v. t._ To designate with an obelus; to mark as doubtful or spirituous.
Obeli_pl. _ of Obelus
Obelus_n._ A mark [thus /, or � ]; -- so called as resembling a needle. In old MSS. or editions of the classics, it marks suspected passages or readings.
Obequitate_v. i._ To ride about.
Oberon_n._ The king of the fairies, and husband of Titania or Queen Mab.
Oberration_n._ A wandering about.
Obese_a._ Excessively corpulent; fat; fleshy.
Obeseness_n._ Quality of being obese; obesity.
Obesity_n._ The state or quality of being obese; incumbrance of flesh.
Obeyed_imp. & p. p._ of Obey
Obeying_p. pr. & vb. n._ of Obey
Obey_v. t._ To give ear to; to execute the commands of; to yield submission to; to comply with the orders of._ To submit to the authority of; to be ruled by._ To yield to the impulse, power, or operation of; as, a ship obeys her helm.
Obey_v. i._ To give obedience.
Obeyer_n._ One who yields obedience.
Obeyingly_adv._ Obediently; submissively.
Obfirm_v. t._ Alt. of Obfirmate
Obfirmate_v. t._ To make firm; to harden in resolution.
Obfirmation_n._ Hardness of heart; obduracy.
Obfuscate_a._ Obfuscated; darkened; obscured.
Obfuscated_imp. & p. p._ of Obfuscate
Obfuscating_p. pr. & vb. n._ of Obfuscate
Obfuscate_v. t._ To darken; to obscure; to becloud; hence, to confuse; to bewilder.
Obfuscation_n._ The act of darkening or bewildering; the state of being darkened.
Obi_n._ A species of sorcery, probably of African origin, practiced among the negroes of the West Indies._ A charm or fetich.
Obimbricate_a._ Imbricated, with the overlapping ends directed downward.
Obit_n._ Death; decease; the date of one's death._ A funeral solemnity or office; obsequies._ A service for the soul of a deceased person on the anniversary of the day of his death.
Obiter_adv._ In passing; incidentally; by the way.
Obitual_a._ Of or pertaining to obits, or days when obits are celebrated; as, obitual days.
Obituarily_adv._ In the manner of an obituary.
Obiyuary_a._ Of or pertaining to the death of a person or persons; as, an obituary notice; obituary poetry.
Obituaries_pl. _ of Obituary
Obituary_n._ That which pertains to, or is called forth by, the obit or death of a person; esp., an account of a deceased person; a notice of the death of a person, accompanied by a biographical sketch._ A list of the dead, or a register of anniversary days when service is performed for the dead.
Objected_imp. & p. p._ of Object
Objecting_p. pr. & vb. n._ of Object
Object_v. t._ To set before or against; to bring into opposition; to oppose._ To offer in opposition as a criminal charge or by way of accusation or reproach; to adduce as an objection or adverse reason.
Object_v. i._ To make opposition in words or argument; -- usually followed by to.
Object_v. t._ That which is put, or which may be regarded as put, in the way of some of the senses; something visible or tangible; as, he observed an object in the distance; all the objects in sight; he touched a strange object in the dark._ That which is set, or which may be regarded as set, before the mind so as to be apprehended or known; that of which the mind by any of its activities takes cognizance, whether a thing external in space or a conception formed by the mind itself; as, an object of knowledge, wonder, fear, thought, study, etc._ That by which the mind, or any of its activities, is directed; that on which the purpose are fixed as the end of action or effort; that which is sought for; end; aim; motive; final cause._ Sight; show; appearance; aspect._ A word, phrase, or clause toward which an action is directed, or is considered to be directed; as, the object of a transitive verb.
Object_a._ Opposed; presented in opposition; also, exposed.
Objectable_a._ Such as can be presented in opposition; that may be put forward as an objection.
Objectify_v. t._ To cause to become an object; to cause to assume the character of an object; to render objective.
Objection_n._ The act of objecting; as, to prevent agreement, or action, by objection._ That which is, or may be, presented in opposition; an adverse reason or argument; a reason for objecting; obstacle; impediment; as, I have no objection to going; unreasonable objections._ Cause of trouble; sorrow.
Objectionable_a._ Liable to objection; likely to be objected to or disapproved of; offensive; as, objectionable words.
Objectist_n._ One who adheres to, or is skilled in, the objective philosophy.
Objectivate_v. t._ To objectify.
Objectivation_n._ Converting into an object.
Objective_a._ Of or pertaining to an object._ Of or pertaining to an object; contained in, or having the nature or position of, an object; outward; external; extrinsic; -- an epithet applied to whatever ir exterior to the mind, or which is simply an object of thought or feeling, and opposed to subjective._ Pertaining to, or designating, the case which follows a transitive verb or a preposition, being that case in which the direct object of the verb is placed. See Accusative, n.
Objective_n._ The objective case._ An object glass.  See under Object, n._ Same as Objective point, under Objective, a.
Objectively_adv._ In the manner or state of an object; as, a determinate idea objectively in the mind.
Objectiveness_n._ Objectivity.
Objectivity_n._ The state, quality, or relation of being objective; character of the object or of the objective.
Obectize_v. t._ To make an object of; to regard as an object; to place in the position of an object.
Objectless_a._ Having no object; purposeless.
Objector_n._ One who objects; one who offers objections to a proposition or measure.
Objibways_n.pl._ See Chippeways.
Objicient_n._ One who makes objection; an objector.
Objuration_n._ A binding by oath.
Objurgated_imp. & p. p._ of Objurgate
Objurgating_p. pr. & vb. n._ of Objurgate
Objurgate_v. t._ To chide; to reprove.
Objurgation_n._ The act of objurgating; reproof.
Objurgatory_a._ Designed to objurgate or chide; containing or expressing reproof; culpatory.
Oblanceolate_a._ Lanceolate in the reversed order, that is, narrowing toward the point of attachment more than toward the apex.
Oblate_a._ Flattened or depressed at the poles; as, the earth is an oblate spheroid._ Offered up; devoted; consecrated; dedicated; -- used chiefly or only in the titles of Roman Catholic orders.  See Oblate, n._ One of an association of priests or religious women who have offered themselves to the service of the church. There are three such associations of priests, and one of women, called oblates._ One of the Oblati.
Oblateness_n._ The quality or state of being oblate.
Oblati_n. pl._ Children dedicated in their early years to the monastic state._ A class of persons, especially in the Middle Ages, who offered themselves and their property to a monastery.
Oblation_n._ The act of offering, or of making an offering._ Anything offered or presented in worship or sacred service; an offering; a sacrifice._ A gift or contribution made to a church, as for the expenses of the eucharist, or for the support of the clergy and the poor.
Oblationer_n._ One who makes an offering as an act worship or reverence.
Oblatrate_v. i._ To bark or snarl, as a dog.
Oblatration_n._ The act of oblatrating; a barking or snarling.
Oblata_pl. _ of Oblatum
Oblatum_n._ An oblate spheroid; a figure described by the revolution of an ellipse about its minor axis.  Cf. Oblongum.
Oblectate_v. t._ To delight; to please greatly.
Oblectation_n._ The act of pleasing highly; the state of being greatly pleased; delight.
Obligable_a._ Acknowledging, or complying with, obligation; trustworthy.
Obligated_imp. & p. p._ of Obligate
Obligating_p. pr. & vb. n._ of Obligate
Obligate_v. t._ To bring or place under obligation, moral or legal; to hold by a constraining motive._ To bind or firmly hold to an act; to compel; to constrain; to bind to any act of duty or courtesy by a formal pledge.
Obligation_n._ The act of obligating._ That which obligates or constrains; the binding power of a promise, contract, oath, or vow, or of law; that which constitutes legal or moral duty._ Any act by which a person becomes bound to do something to or for anouther, or to forbear something; external duties imposed by law, promise, or contract, by the relations of society, or by courtesy, kindness, etc._ The state of being obligated or bound; the state of being indebted for an act of favor or kindness; as, to place others under obligations to one._ A bond with a condition annexed, and a penalty for nonfulfillment. In a larger sense, it is an acknowledgment of a duty to pay a certain sum or do a certain things.
Obligato_a._ See Obbligato.
Obligatorily_adv._ In an obligatory manner; by reason of obligation.
Obligatoriness_n._ The quality or state of being obligatory.
Obligatory_a._ Binding in law or conscience; imposing duty or obligation; requiring performance or forbearance of some act; -- often followed by on or upon; as, obedience is obligatory on a soldier.
Obliged_imp. & p. p._ of Oblige
Obliging_p. pr. & vb. n._ of Oblige
Oblige_v. t._ To attach, as by a bond._ To constrain by physical, moral, or legal force; to put under obligation to do or forbear something._ To bind by some favor rendered; to place under a debt; hence, to do a favor to; to please; to gratify; to accommodate.
Obligee_n._ The person to whom another is bound, or the person to whom a bond is given.
Obligement_n._ Obligation.
Obliger_n._ One who, or that which, obliges.
Obliging_a._ Putting under obligation; disposed to oblige or do favors; hence, helpful; civil; kind.
Obligor_n._ The person who binds himself, or gives his bond to another.
Obliquation_n._ The act of becoming oblique; a turning to one side; obliquity; as, the obliquation of the eyes._ Deviation from moral rectitude.
Oblique_a._ Not erect or perpendicular; neither parallel to, nor at right angles from, the base; slanting; inclined._ Not straightforward; indirect; obscure; hence, disingenuous; underhand; perverse; sinister._ Not direct in descent; not following the line of father and son; collateral.
Oblique_n._ An oblique line.
Obliqued_imp. & p. p._ of Oblique
Obliquing_p. pr. & vb. n._ of Oblique
Oblique_v. i._ To deviate from a perpendicular line; to move in an oblique direction._ To march in a direction oblique to the line of the column or platoon; -- formerly accomplished by oblique steps, now by direct steps, the men half-facing either to the right or left.
Oblique-angled_a._ Having oblique angles; as, an oblique-angled triangle.
Obliquely_adv._ In an oblique manner; not directly; indirectly.
Obliqueness_n._ Quality or state of being oblique.
Obliquities_pl. _ of Obliquity
Obliquity_n._ The condition of being oblique; deviation from a right line; deviation from parallelism or perpendicularity; the amount of such deviation; divergence; as, the obliquity of the ecliptic to the equator._ Deviation from ordinary rules; irregularity; deviation from moral rectitude.
Oblite_a._ Indistinct; slurred over.
Obliterated_imp. & p. p._ of Obliterate
Obliterating_p. pr. & vb. n._ of Obliterate
Obliterate_v. t._ To erase or blot out; to efface; to render undecipherable, as a writing._ To wear out; to remove or destroy utterly by any means; to render imperceptible; as. to obliterate ideas; to obliterate the monuments of antiquity.
Obliterate_a._ Scarcely distinct; -- applied to the markings of insects.
Obliteration_n._ The act of obliterating, or the state of being obliterated; extinction.
Obliterative_a._ Tending or serving to obliterate.
Oblivion_n._ The act of forgetting, or the state of being forgotten; cessation of remembrance; forgetfulness._  Official ignoring of offenses; amnesty, or general pardon; as, an act of oblivion.
Oblivious_a._ Promoting oblivion; causing forgetfulness._ Evincing oblivion; forgetful.
Oblocutor_n._ A disputer; a gainsayer.
Oblong_a._ Having greater length than breadth, esp. when rectangular.
Oblong_n._ A rectangular figure longer than it is broad; hence, any figure longer than it is broad.
Oblongata_n._ The medulla oblongata.
Oblongatal_a._ Of or pertaining to the medulla oblongata; medullar.
Oblongish_a._ Somewhat oblong.
Oblongly_adv._ In an oblong form.
Oblongness_n._ State or quality of being oblong.
Oblong-ovate_a._ Between oblong and ovate, but inclined to the latter.
Oblonga_pl. _ of Oblongum
Oblongum_n._ A prolate spheroid; a figure described by the revolution of an ellipse about its greater axis.  Cf. Oblatum, and see Ellipsoid of revolution, under Ellipsoid.
Obloquious_a._ Containing obloquy; reproachful
Obloquy_n._ Censorious speech; defamatory language; language that casts contempt on men or their actions; blame; reprehension._ Cause of reproach; disgrace.
Obluctation_n._ A struggle against; resistance; opposition.
Obmutescence_n._ A becoming dumb; loss of speech._ A keeping silent or mute.
Obnoxious_a._ Subject; liable; exposed; answerable; amenable; -- with to._ Liable to censure; exposed to punishment; reprehensible; blameworthy._ Offensive; odious; hateful; as, an obnoxious statesman; a minister obnoxious to the Whigs.
Obnubilate_v. t._ To cloud; to obscure.
Oboe_n._ One of the higher wind instruments in the modern orchestra, yet of great antiquity, having a penetrating pastoral quality of tone, somewhat like the clarinet in form, but more slender, and sounded by means of a double reed; a hautboy.
Oboist_n._ A performer on the oboe.
Obolary_a._ Possessing only small coins; impoverished.
Obole_n._ A weight of twelve grains; or, according to some, of ten grains, or half a scruple.
Obolize_v. t._ See Obelize.
Obolo_n._ A copper coin, used in the Ionian Islands, about one cent in value.
Oboli_pl. _ of Obolus
Obolus_n._ A small silver coin of Athens, the sixth part of a drachma, about three cents in value._ An ancient weight, the sixth part of a drachm.
Obomegoid_a._ Obversely omegoid.
Oboval_a._ Obovate.
Obovate_a._ Inversely ovate; ovate with the narrow end downward; as, an obovate leaf.
Obreption_n._ The act of creeping upon with secrecy or by surprise._ The obtaining gifts of escheat by fraud or surprise.
Obreptitious_a._ Done or obtained by surprise; with secrecy, or by concealment of the truth.
Obrogate_v. t._ To annul indirectly by enacting a new and contrary law, instead of by expressly abrogating or repealing the old one.
Obrok_n._ A rent._ A poll tax paid by peasants absent from their lord's estate.
Obscene_a/_ Offensive to chastity or modesty; expressing of presenting to the mind or view something which delicacy, purity, and decency forbid to be exposed; impure; as, obscene language; obscene pictures._ Foul; fifthy; disgusting._ Inauspicious; ill-omened.
Obscenities_pl. _ of Obscenity
Obscenity_n._ That quality in words or things which presents what is offensive to chasity or purity of mind; obscene or impure lanquage or acts; moral impurity; lewdness; obsceneness; as, the obscenity of a speech, or a picture.
Obscurant_n._ One who obscures; one who prevents enlightenment or hinders the progress of knowledge and wisdom.
Obscurantism_n._ The system or the principles of the obscurants.
Obscurantist_n._ Same as Obscurant.
Obscuration_v. t._ The act or operation of obscuring; the state of being obscured; as, the obscuration of the moon in an eclipse.
Obscure_superl._ Covered over, shaded, or darkened; destitute of light; imperfectly illuminated; dusky; dim._ Of or pertaining to darkness or night; inconspicuous to the sight; indistinctly seen; hidden; retired; remote from observation; unnoticed._ Not noticeable; humble; mean._ Not easily understood; not clear or legible; abstruse or blind; as, an obscure passage or inscription._ Not clear, full, or distinct; clouded; imperfect; as, an obscure view of remote objects.
Obscured_imp. & p. p._ of Obscure
Obscuring_p. pr. & vb. n._ of Obscure
Obscure_a._ To render obscure; to darken; to make dim; to keep in the dark; to hide; to make less visible, intelligible, legible, glorious, beautiful, or illustrious.
Obscure_v. i._ To conceal one's self; to hide; to keep dark.
Obscure_n._ Obscurity.
Obscurely_adv._ In an obscure manner.
Obscurement_n._ The act of obscuring, or the state of being obscured; obscuration.
Obscureness_n._ Obscurity.
Obscurer_n._ One who, or that which, obscures.
Obscurity_n._ The quality or state of being obscure; darkness; privacy; inconspicuousness; unintelligibleness; uncertainty.
Obsecrated_imp. & p. p._ of Obsecrate
Obsecrating_p. pr. & vb, n._ of Obsecrate
Obsecrate_v. t._ To beseech; to supplicate; to implore.
Obsecration_n._" The act of obsecrating or imploring; as, the obsecrations of the Litany, being those clauses beginning with ""By."""_ A figure of speech in which the orator implores the assistance of God or man.
Obsecratory_a._ Expressing, or used in, entreaty; supplicatory.
Obsequent_a._ Obedient; submissive; obsequious.
Obsequience_n._ Obsequiousness.
Obsequies_n.pl._ See Obsequy.
Obsequious_a._ Promptly obedient, or submissive, to the will of another; compliant; yielding to the desires of another; devoted._ Servilely or meanly attentive; compliant to excess; cringing; fawning; as, obsequious flatterer, parasite._ Of or pertaining to obsequies; funereal.
Obsequiously_adv._ In an obsequious manner; compliantly; fawningly._ In a manner appropriate to obsequies.
Obsequiousness_n._ The quality or state of being obsequious.
Obsequies_pl. _ of Obsequy
Obsequy_n._ The last duty or service to a person, rendered after his death; hence, a rite or ceremony pertaining to burial; -- now used only in the plural._ Obsequiousness.
Observable_a._ Worthy or capable of being observed; discernible; noticeable; remarkable.
Observance_n._ The act or practice of observing or noticing with attention; a heeding or keeping with care; performance; -- usually with a sense of strictness and fidelity; as, the observance of the Sabbath is general; the strict observance of duties._ An act, ceremony, or rite, as of worship or respect; especially, a customary act or service of attention; a form; a practice; a rite; a custom._ Servile attention; sycophancy.
Observancy_n._ Observance.
Observanda_pl. _ of Observandum
Observandum_n._ A thing to be observed.
Observant_a._ Taking notice; viewing or noticing attentively; watchful; attentive; as, an observant spectator; observant habits._ Submissively attentive; obediently watchful; regardful; mindful; obedient (to); -- with of, as, to be observant of rules.
Observant_n._ One who observes forms and rules._ A sycophantic servant._ An Observantine.
Observantine_n._ One of a branch of the Order of Franciscans, who profess to adhere more strictly than the Conventuals to the intention of the founder, especially as to poverty; -- called also Observants.
Observantly_adv._ In an observant manner.
Observation_n._ The act or the faculty of observing or taking notice; the act of seeing, or of fixing the mind upon, anything._ The result of an act, or of acts, of observing; view; reflection; conclusion; judgment._ Hence: An expression of an opinion or judgment upon what one has observed; a remark._ Performance of what is prescribed; adherence in practice; observance._ The act of recognizing and noting some fact or occurrence in nature, as an aurora, a corona, or the structure of an animal._ Specifically, the act of measuring, with suitable instruments, some magnitude, as the time of an occultation, with a clock; the right ascension of a star, with a transit instrument and clock; the sun's altitude, or the distance of the moon from a star, with a sextant; the temperature, with a thermometer, etc. _ The information so acquired.
Observational_a._ Of a pertaining to observation; consisting of, or containing, observations.
Observative_a._ Observing; watchful.
Observator_n._ One who observes or takes notice._ One who makes a remark.
Observatories_pl. _ of Observatory
Observatory_n._ A place or building for making observations on the heavenly bodies._ A building fitted with instruments for making systematic observations of any particular class or series of natural phenomena._ A place, as an elevated chamber, from which a view may be observed or commanded._ A lookout on a flank of a battery whence an officer can note the range and effect of the fire.
Observed_imp. & p. p._ of Observe
Observing_p. pr. & vb. n._ of Observe
Observe_v. t._ To take notice of by appropriate conduct; to conform one's action or practice to; to keep; to heed; to obey; to comply with; as, to observe rules or commands; to observe civility._ To be on the watch respecting; to pay attention to; to notice with care; to see; to perceive; to discover; as, to observe an eclipse; to observe the color or fashion of a dress; to observe the movements of an army._ To express as what has been noticed; to utter as a remark; to say in a casual or incidental way; to remark.
Observe_v. i._ To take notice; to give attention to what one sees or hears; to attend._ To make a remark; to comment; -- generally with on or upon.
Observer_n._ One who observes, or pays attention to, anything; especially, one engaged in, or trained to habits of, close and exact observation; as, an astronomical observer._ One who keeps any law, custom, regulation, rite, etc.; one who conforms to anything in practice._ One who fulfills or performs; as, an observer of his promises._ A sycophantic follower.
Observership_n._ The office or work of an observer.
Observing_a._ Giving particular attention; habitually attentive to what passes; as, an observing person; an observing mind.
Obsess_v. t._ To besiege; to beset.
Obsession_n._ The act of besieging._ The state of being besieged; -- used specifically of a person beset by a spirit from without.
Obsidian_n._ A kind of glass produced by volcanoes. It is usually of a black color, and opaque, except in thin splinters.
Obsidional_a._ Of or pertaining to a siege.
Obsigillation_n._ A sealing up.
Obsign_v. t._ To seal; to confirm, as by a seal or stamp.
Obsignate_v. t._ To seal; to ratify.
Obsignation_n._ The act of sealing or ratifying; the state of being sealed or confirmed; confirmation, as by the Holy Spirit.
Obsignatory_a._ Ratifying; confirming by sealing.
Obsolesce_v. i._ To become obsolescent.
Obsolescence_n._ The state of becoming obsolete.
Obsolescent_a._ Going out of use;          becoming obsolete; passing into desuetude.
Obsolete_a._ No longer in use; gone into disuse; disused; neglected; as, an obsolete word; an obsolete statute; -- applied chiefly to words, writings, or observances._ Not very distinct; obscure; rudimental; imperfectly developed; abortive.
Obsolete_v. i._ To become obsolete; to go out of use.
Obsoletely_adv._ In an obsolete manner.
Obsoleteness_n._ The state of being obsolete, or no longer used; a state of desuetude._ Indistinctness; want of development.
Obsoletism_n._ A disused word or phrase; an archaism.
Obstacle_v._ That which stands in the way, or opposes; anything that hinders progress; a hindrance; an obstruction, physical or moral.
Obstancy_n._ Opposition; impediment; obstruction.
Obstetric_a._ Alt. of Obstetrical
Obstetrical_a._ Of or pertaining to midwifery, or the delivery of women in childbed; as, the obstetric art.
Obstetricate_v. i._ To perform the office of midwife.
Obstetricate_v. t._ To assist as a midwife.
Obstetrication_n._ The act of assisting as a midwife; delivery.
Obstetrician_n._ One skilled in obstetrics; an accoucheur.
Obstetricious_a._ Serving to assist childbirth; obstetric; hence, facilitating any bringing forth or deliverance.
Obstetrics_n._ The science of midwifery; the art of assisting women in parturition, or in the trouble incident to childbirth.
Obstetricy_n._ Obstetrics.
Obstinacy_n._ A fixedness in will, opinion, or resolution that can not be shaken at all, or only with great difficulty; firm and usually unreasonable adherence to an opinion, purpose, or system; unyielding disposition; stubborness; pertinacity; persistency; contumacy._ The quality or state of being difficult to remedy, relieve, or subdue; as, the obstinacy of a disease or evil.
Obstinate_a._ Pertinaciously adhering to an opinion, purpose, or course; persistent; not yielding to reason, arguments, or other means; stubborn; pertinacious; -- usually implying unreasonableness._ Not yielding; not easily subdued or removed; as, obstinate fever; obstinate obstructions.
Obstination_n._ Obstinacy; stubbornness.
Obstipation_n._ The act of stopping up, as a passage._ Extreme constipation.
Obstreperous_a._ Attended by, or making, a loud and tumultuous noise; clamorous; noisy; vociferous.
Obstriction_n._ The state of being constrained, bound, or obliged; that which constrains or obliges; obligation; bond.
Obstringe_v. t._ To constrain; to put under obligation.
Obstructed_imp. & p. p._ of Obstruct
Obstructing_p. pr. & vb. n._ of Obstruct
Obstruct_v. t._ To block up; to stop up or close, as a way or passage; to place an obstacle in, or fill with obstacles or impediments that prevent or hinder passing; as, to obstruct a street; to obstruct the channels of the body._ To be, or come, in the way of; to hinder from passing; to stop; to impede; to retard; as, the bar in the harbor obstructs the passage of ships; clouds obstruct the light of the sun; unwise rules obstruct legislation.
Obstructer_n._ One who obstructs or hinders.
Obstruction_n._ The act of obstructing, or state of being obstructed._ That which obstructs or impedes; an obstacle; an impediment; a hindrance._ The condition of having the natural powers obstructed in their usual course; the arrest of the vital functions; death.
Obstructionism_n._ The act or the policy of obstructing progress.
Obstructionist_n._ One who hinders progress; one who obstructs business, as in a legislative body.
Obstructionist_a._ Of or pertaining to obstructionists.
Obstructive_a._ Tending to obstruct; presenting obstacles; hindering; causing impediment.
Obstructive_n._ An obstructive person or thing.
Obstruent_a._ Causing obstruction; blocking up; hindering; as, an obstruent medicine.
Obstruent_n._ Anything that obstructs or closes a passage; esp., that which obstructs natural passages in the body; as, a medicine which acts as an obstruent.
Obstupefaction_n._ See Stupefaction.
Obstupefactive_a._ Stupefactive.
Obstupefy_v. t._ See Stupefy.
Obtained_imp. & p. p._ of Obtain
Obtaining_p. pr. & vb. n._ of Obtain
Obtain_v. t._ To hold; to keep; to possess._ To get hold of by effort; to gain possession of; to procure; to acquire, in any way.
Obtain_v. i._ To become held; to gain or have a firm footing; to be recognized or established; to subsist; to become prevalent or general; to prevail; as, the custom obtains of going to the seashore in summer._ To prevail; to succeed.
Obtainable_a._ Capable of being obtained.
Obtainer_n._ One who obtains.
Obtainment_n._ The act or process of obtaining; attainment.
Obtected_a._ Covered; protected._ Covered with a hard chitinous case, as the pupa of certain files.
Obtemper_v. t. & i._ To obey (a judgment or decree).
Obtemperate_v. t._ To obey.
Obtended_imp. & p. p._ of Obtend
Obtending_p. pr. & vb. n._ of Obtend
Obtend_v. t._ To oppose; to hold out in opposition._ To offer as the reason of anything; to pretend.
Obtenebration_n._ The act of darkening; the state of being darkened; darkness.
Obtension_n._ The act of obtending.
Obtested_imp. & p. p._ of Obtest
Obtesting_p. pr. & vb. n._ of Obtest
Obtest_v. t._ To call to witness; to invoke as a witness._ To beseech; to supplicate; to beg for.
Obtest_v. i._ To protest.
Obtestation_n._ The act of obtesting; supplication; protestation.
Obtrectation_n._ Slander; detraction; calumny.
