Ma_n._ A child's word for mother.
Mace_n._ A money of account in China equal to one tenth of a tael; also, a weight of 57.98 grains._ A kind of spice; the aril which partly covers nutmegs. See Nutmeg._ A heavy staff or club of metal; a spiked club; -- used as weapon in war before the general use of firearms, especially in the Middle Ages, for breaking metal armor._ A staff borne by, or carried before, a magistrate as an ensign of his authority._ An officer who carries a mace as an emblem of authority._ A knobbed mallet used by curriers in dressing leather to make it supple._ A rod for playing billiards, having one end suited to resting on the table and pushed with one hand.
Macedonian_a._ Belonging, or relating, to Macedonia.
Macedonian_n._ A native or inhabitant of Macedonia._ One of a certain religious sect, followers of Macedonius, Bishop of Constantinople, in the fourth century, who held that the Holy Ghost was a creature, like the angels, and a servant of the Father and the Son.
Macedonianism_n._ The doctrines of Macedonius.
Macer_n._ A mace bearer; an officer of a court.
Macerated_imp. & p. p._ of Macerate
Macerating_p. pr. & vb. n._ of Macerate
Macerate_v. t._ To make lean; to cause to waste away._ To subdue the appetites of by poor and scanty diet; to mortify._ To soften by steeping in a liquid, with or without heat; to wear away or separate the parts of by steeping; as, to macerate animal or vegetable fiber.
Macerater_n._ One who, or that which, macerates; an apparatus for converting paper or fibrous matter into pulp.
Maceration_n._ The act or process of macerating.
Machaerodus_n._ Alt. of Machairodus
Machairodus_n._ A genus of extinct mammals allied to the cats, and having in the upper jaw canine teeth of remarkable size and strength; -- hence called saber-toothed tigers.
Machete_n._ A large heavy knife resembling a broadsword, often two or three feet in length, -- used by the inhabitants of Spanish America as a hatchet to cut their way through thickets, and for various other purposes.
Machiavelian_a._ Of or pertaining to Machiavel, or to his supposed principles; politically cunning; characterized by duplicity or bad faith; crafty.
Machiavelian_n._ One who adopts the principles of Machiavel; a cunning and unprincipled politician.
Machiavelism_n._ Alt. of Machiavelianism
Machiavelianism_n._ The supposed principles of Machiavel, or practice in conformity to them; political artifice, intended to favor arbitrary power.
Machicolated_a._ Having machicolations.
Machicolation_n._ An opening between the corbels which support a projecting parapet, or in the floor of a gallery or the roof of a portal, shooting or dropping missiles upen assailants attacking the base of the walls. Also, the construction of such defenses, in general, when of this character. See Illusts. of Battlement and Castle._ The act of discharging missiles or pouring burning or melted substances upon assailants through such apertures.
Machicoulis_n._ Same as Machicolation.
Machinal_a._ Of or pertaining to machines.
Machinated_imp. & p. p._ of Machinate
Machinating_p. pr. & vb. n._ of Machinate
Machinate_v. i._ To plan; to contrive; esp., to form a scheme with the purpose of doing harm; to contrive artfully; to plot.
Machinate_v. t._ To contrive, as a plot; to plot; as, to machinate evil.
Machination_n._ The act of machinating._ That which is devised; a device; a hostile or treacherous scheme; an artful design or plot.
Machinator_n._ One who machinates, or forms a scheme with evil designs; a plotter or artful schemer.
Machine_n._ In general, any combination of bodies so connected that their relative motions are constrained, and by means of which force and motion may be transmitted and modified, as a screw and its nut, or a lever arranged to turn about a fulcrum or a pulley about its pivot, etc.; especially, a construction, more or less complex, consisting of a combination of moving parts, or simple mechanical elements, as wheels, levers, cams, etc., with their supports and connecting framework, calculated to constitute a prime mover, or to receive force and motion from a prime mover or from another machine, and transmit, modify, and apply them to the production of some desired mechanical effect or work, as weaving by a loom, or the excitation of electricity by an electrical machine._ Any mechanical contrivance, as the wooden horse with which the Greeks entered Troy; a coach; a bicycle._ A person who acts mechanically or at will of another._ A combination of persons acting together for a common purpose, with the agencies which they use; as, the social machine._ A political organization arranged and controlled by one or more leaders for selfish, private or partisan ends._ Supernatural agency in a poem, or a superhuman being introduced to perform some exploit.
Machined_imp. & p. p._ of Machine
Machining_p. pr. & vb. n._ of Machine
Machine_v. t._ To subject to the action of machinery; to effect by aid of machinery; to print with a printing machine.
Machiner_n._ One who or operates a machine; a machinist.
Machinery_n._ Machines, in general, or collectively._ The working parts of a machine, engine, or instrument; as, the machinery of a watch._ The supernatural means by which the action of a poetic or fictitious work is carried on and brought to a catastrophe; in an extended sense, the contrivances by which the crises and conclusion of a fictitious narrative, in prose or verse, are effected._ The means and appliances by which anything is kept in action or a desired result is obtained; a complex system of parts adapted to a purpose.
Machining_a._ Of or pertaining to the machinery of a poem; acting or used as a machine.
Machinist_n._ A constrictor of machines and engines; one versed in the principles of machines._ One skilled in the use of machine tools._ A person employed to shift scenery in a theater.
Macho_n._ The striped mullet of California (Mugil cephalus, / Mexicanus).
Macilency_n._ Leanness.
Macilent_a._ Lean; thin.
Macintosh_n._ Same as Mackintosh.
Mackerel_n._ A pimp; also, a bawd._ Any species of the genus Scomber, and of several related genera. They are finely formed and very active oceanic fishes. Most of them are highly prized for food.
Mackinaw blanket__ Alt. of Mackinaw
Mackinaw__ A thick blanket formerly in common use in the western part of the United States.
Mackintosh_n._ A waterproof outer garment; -- so called from the name of the inventor.
Mackle_n._ Same Macule.
Mackle_v. t. & i._ To blur, or be blurred, in printing, as if there were a double impression.
Macle_n._ Chiastolite; -- so called from the tessellated appearance of a cross section. See Chiastolite._ A crystal having a similar tessellated appearance._ A twin crystal.
Macled_a._ Marked like macle (chiastolite)._ Having a twin structure. See Twin, a._ See Mascled.
Maclurea_n._ A genus of spiral gastropod shells, often of large size, characteristic of the lower Silurian rocks.
Maclurin_n._ See Morintannic.
Macrame lace__ A coarse lace made of twine, used especially in decorating furniture.
Macrencephalic_a._ Alt. of Macrencephalous
Macrencephalous_a._ Having a large brain.
Macro-__ A combining form signifying long, large, great; as macrodiagonal, macrospore.
Macrobiotic_a._ Long-lived.
Macrobiotics_n._ The art of prolonging life.
Macrocephalous_a._ Having a large head._ Having the cotyledons of a dicotyledonous embryo confluent, and forming a large mass compared with the rest of the body.
Macro-chemistry_n._ The science which treats of the chemical properties, actions or relations of substances in quantity; -- distinguished from micro-chemistry.
Macrochires_n. pl._ A division of birds including the swifts and humming birds. So called from the length of the distal part of the wing.
Macrocosm_n._ The great world; that part of the universe which is exterior to man; -- contrasted with microcosm, or man. See Microcosm.
Macrocosmic_a._ Of or pertaining to the macrocosm.
Macrocystis_n._ An immensely long blackish seaweed of the Pacific (Macrocystis pyrifera), having numerous almond-shaped air vessels.
Macrodactyl_n._ One of a group of wading birds (Macrodactyli) having very long toes.
Macrodactylic_a._ Alt. of Macrodactylous
Macrodactylous_a._ Having long toes.
Macrodiagonal_n._ The longer of two diagonals, as of a rhombic prism. See Crystallization.
Macrodome_n._ A dome parallel to the longer lateral axis of an orthorhombic crystal. See Dome, n., 4.
Macrodont_a._ Having large teeth.
Macrodont_n._ A macrodont animal.
Macrofarad_n._ See Megafarad.
Macroglossia_n._ Enlargement or hypertrophy of the tongue.
Macrognathic_a._ Long-jawed.
Macrology_n._ Long and tedious talk without much substance; superfluity of words.
Macrometer_n._ An instrument for determining the size or distance of inaccessible objects by means of two reflectors on a common sextant.
Macron_n._ A short, straight, horizontal mark [-], placed over vowels to denote that they are to be pronounced with a long sound; as, a, in dame; /, in s/am, etc.
Macropetalous_a._ Having long or large petals.
Macrophyllous_a._ Having long or large leaves.
Macropinacoid_n._ One of the two planes of an orthorhombic crystal which are parallel to the vertical and longer lateral (macrodiagonal) axes.
Macropod_n._ Any one of a group of maioid crabs remarkable for the length of their legs; -- called also spider crab.
Macropodal_a._ Having long or large feet, or a long stem.
Macropodian_n._ A macropod.
Macropodous_a._ Having long legs or feet.
Macroprism_n._ A prism of an orthorhombic crystal between the macropinacoid and the unit prism; the corresponding pyramids are called macropyramids.
Macropteres_n. pl._ A division of birds; the Longipennes.
Macropterous_a._ Having long wings.
Macropus_n._ genus of marsupials including the common kangaroo.
Macropyramid_n._ See Macroprism.
Macroscopic_a._ Alt. of Macroscopical
Macroscopical_a._ Visible to the unassisted eye; -- as opposed to microscopic.
Macrosporangium_n._ A sporangium or conceptacle containing only large spores; -- opposed to microsporangium. Both are found in the genera Selaginella, Isoctes, and Marsilia, plants remotely allied to ferns.
Macrospore_n._ One of the specially large spores of certain flowerless plants, as Selaginella, etc.
Macrosporic_a._ Of or pertaining to macrospores.
Macrotone_n._ Same as Macron.
Macrotous_a._ Large-eared.
Macroura_a._ Alt. of Macroural
Macroural_a._ Same as Macrura, Macrural, etc.
Macrozoospore_n._ A large motile spore having four vibratile cilia; -- found in certain green algae.
Macrura_n. pl._ A subdivision of decapod Crustacea, having the abdomen largely developed. It includes the lobster, prawn, shrimp, and many similar forms.  Cf. Decapoda.
Macrural_a._ Same as Macrurous.
Macruran_n._ One of the Macrura.
Macruroid_a._ Like or pertaining to the Macrura.
Macrurous_a._ Of or pertaining to the Macrura; having a long tail.
Mactation_n._ The act of killing a victim for sacrifice.
Mactra_n._ Any marine bivalve shell of the genus Mactra, and allied genera. Many species are known. Some of them are used as food, as Mactra stultorum, of Europe. See Surf clam, under Surf.
Maculae_pl. _ of Macula
Macula_n._ A spot, as on the skin, or on the surface of the sun or of some other luminous orb._ A rather large spot or blotch of color.
Maculate_v._ To spot; to stain; to blur.
Maculate_a._ Marked with spots or maculae; blotched; hence, defiled; impure; as, most maculate thoughts.
Maculated_a._ Having spots or blotches; maculate.
Maculation_n._ The act of spotting; a spot; a blemish.
Maculatory_a._ Causing a spot or stain.
Maculature_n._ Blotting paper.
Macule_n._ A spot._ A blur, or an appearance of a double impression, as when the paper slips a little; a mackle.
Macule_v._ To blur; especially (Print.), to blur or double an impression from type. See Mackle.
Maculose_a._ Of or pertaining to spots upon a surface; spotted; maculate.
Mad__ p. p. of Made.
Mad_superl._ Disordered in intellect; crazy; insane._ Excited beyond self-control or the restraint of reason; inflamed by violent or uncontrollable desire, passion, or appetite; as, to be mad with terror, lust, or hatred; mad against political reform._ Proceeding from, or indicating, madness; expressing distraction; prompted by infatuation, fury, or extreme rashness._ Extravagant; immoderate._ Furious with rage, terror, or disease; -- said of the lower animals; as, a mad bull; esp., having hydrophobia; rabid; as, a mad dog._ Angry; out of patience; vexed; as, to get mad at a person._ Having impaired polarity; -- applied to a compass needle.
Madded_imp. & p. p._ of Mad
Madding_p. pr. & vb. n._ of Mad
Mad_v. t._ To make mad or furious; to madden.
Mad_v. i._ To be mad; to go mad; to rave. See Madding.
Mad_n._ An earthworm.
Madams_pl. _ of Madam
Mesdames_pl. _ of Madam
Madam_n._ A gentlewoman; -- an appellation or courteous form of address given to a lady, especially an elderly or a married lady; -- much used in the address, at the beginning of a letter, to a woman. The corresponding word in addressing a man is Sir.
Mesdames_pl. _ of Madame
Madame_n._ My lady; -- a French title formerly given to ladies of quality; now, in France, given to all married women.
Mad-apple_n._ See Eggplant.
Madbrain_a._ Hot-headed; rash.
Madbrain_n._ A rash or hot-headed person.
Madbrained_a._ Disordered in mind; hot-headed.
Madcap_a._ Inclined to wild sports; delighting in rash, absurd, or dangerous amusements._ Wild; reckless.
Madcap_n._ A person of wild behavior; an excitable, rash, violent person.
Maddened_imp. & p. p._ of Madden
Maddening_p. pr. & vb. n._ of Madden
Madden_v. t._ To make mad; to drive to madness; to craze; to excite violently with passion; to make very angry; to enrage.
Madden_v. i._ To become mad; to act as if mad.
Madder_n._ A plant of the Rubia (R. tinctorum). The root is much used in dyeing red, and formerly was used in medicine. It is cultivated in France and Holland. See Rubiaceous.
Madderwort_n._ A name proposed for any plant of the same natural order (Rubiaceae) as the madder.
Madding_a._ Affected with madness; raging; furious.
Maddish_a._ Somewhat mad.
Made_n._ See Mad, n.
Made__ imp. & p. p. of Make.
Made_a._ Artificially produced; pieced together; formed by filling in; as, made ground; a made mast, in distinction from one consisting of a single spar.
Madecass_n._ Alt. of Madecassee
Madecassee_n._ A native or inhabitant of Madagascar, or Madecassee; the language of the natives of Madagascar. See Malagasy.
Madecassee_a._ Of or pertaining to Madagascar or its inhabitants.
Madefaction_n._ Alt. of Madefication
Madefication_n._ The act of madefying, or making wet; the state of that which is made wet.
Madefied_imp. & p. p._ of Madefy
Madefying_p. pr. & vb. n._ of Madefy
Madefy_v. t._ To make wet or moist.
Madegassy_n. & a._ See Madecassee.
Madeira_n._ A rich wine made on the Island of Madeira.
Mesdemoiselles_pl. _ of Mademoiselle
Mademoiselle_n._ A French title of courtesy given to a girl or an unmarried lady, equivalent to the English Miss._ A marine food fish (Sciaena chrysura), of the Southern United States; -- called also yellowtail, and silver perch.
Madge_n._ The barn owl._ The magpie.
Mad-headed_a._ Wild; crack-brained.
Madhouse_n._ A house where insane persons are confined; an insane asylum; a bedlam.
Madia_n._ A genus of composite plants, of which one species (Madia sativa) is cultivated for the oil yielded from its seeds by pressure. This oil is sometimes used instead of olive oil for the table.
Madid_a._ Wet; moist; as, a madid eye.
Madisterium_n._ An instrument to extract hairs.
Madjoun_n._ An intoxicating confection from the hemp plant; -- used by the Turks and Hindoos.
Madly_a._ In a mad manner; without reason or understanding; wildly.
Madmen_pl. _ of Madman
Madman_n._ A man who is mad; lunatic; a crazy person.
Madnep_n._ The masterwort (Peucedanum Ostruthium).
Madness_a._ The condition of being mad; insanity; lunacy._ Frenzy; ungovernable rage; extreme folly.
Madonna_n._ My lady; -- a term of address in Italian formerly used as the equivalent of Madame, but for which Signora is now substituted. Sometimes introduced into English._ A picture of the Virgin Mary (usually with the babe).
Madoqua_n._ A small Abyssinian antelope (Neotragus Saltiana), about the size of a hare.
Madrague_n._ A large fish pound used for the capture of the tunny in the Mediterranean; also applied to the seines used for the same purpose.
Madreperl_n._ Mother-of-pearl.
Madrepora_n._ A genus of reef corals abundant in tropical seas. It includes than one hundred and fifty species, most of which are elegantly branched.
Madreporaria_n. pl._ An extensive division of Anthozoa, including most of the species that produce stony corals. See Illust. of Anthozoa.
Madrepore_n._ Any coral of the genus Madrepora; formerly, often applied to any stony coral.
Madreporian_a._ Alt. of Madreporic
Madreporic_a._ Resembling, or pertaining to, the genus Madrepora.
Madreporiform_a._ Resembling a madreporian coral in form or structure.
Madreporite_n._ A fossil coral._ The madreporic plate of echinoderms.
Madrier_n._ A thick plank, used for several mechanical purposes_ A plank to receive the mouth of a petard, with which it is applied to anything intended to be broken down._ A plank or beam used for supporting the earth in mines or fortifications.
Madrigal_n._ A little amorous poem, sometimes called a pastoral poem, containing some tender and delicate, though simple, thought._ An unaccompanied polyphonic song, in four, five, or more parts, set to secular words, but full of counterpoint and imitation, and adhering to the old church modes. Unlike the freer glee, it is best sung with several voices on a part. See Glee.
Madrigaler_n._ A madrigalist.
Madrigalist_n._ A composer of madrigals.
Madrilenian_a._ Of or pertaining to Madrid in Spain, or to its inhabitants.
Madrilenian_n._ A native or inhabitant of Madrid.
Madrina_n._ An animal (usually an old mare), wearing a bell and acting as the leader of a troop of pack mules.
Madro�a_n._ A small evergreen tree or shrub (Arbutus Menziesii), of California, having a smooth bark, thick shining leaves, and edible red berries, which are often called madro�a apples.
Madwort_n._ A genus of cruciferous plants (Alyssum) with white or yellow flowers and rounded pods. A. maritimum is the commonly cultivated sweet alyssum, a fragrant white-flowered annual.
Maegbote_n._ Alt. of Magbote
Magbote_n._ Compensation for the injury done by slaying a kinsman.
Maelstrom_n._ A celebrated whirlpool on the coast of Norway._ Also Fig. ; as, a maelstrom of vice.
Maenad_n._ A Bacchante; a priestess or votary of Bacchus._ A frantic or frenzied woman.
Maestoso_a. & adv._ Majestic or majestically; -- a direction to perform a passage or piece of music in a dignified manner.
Maestricht monitor__ The Mosasaurus Hofmanni. See Mosasaurus.
Maestro_n._ A master in any art, especially in music; a composer.
Maffle_v. i._ To stammer.
Maffler_n._ A stammerer.
Magazine_n._ A receptacle in which anything is stored, especially military stores, as ammunition, arms, provisions, etc._ The building or room in which the supply of powder is kept in a fortification or a ship._ A chamber in a gun for holding a number of cartridges to be fed automatically to the piece._ A pamphlet published periodically containing miscellaneous papers or compositions.
Magazined_imp. & p. p._ of Magazine
Magazining_p. pr. & vb. n._ of Magazine
Magazine_v. t._ To store in, or as in, a magazine; to store up for use.
Magaziner_n._ One who edits or writes for a magazine.
Magazining_n._ The act of editing, or writing for, a magazine.
Magazinist_n._ One who edits or writes for a magazine.
Magbote_n._ See Maegbote.
Magdala_a._ Designating an orange-red dyestuff obtained from naphthylamine, and called magdala red, naphthalene red, etc.
Magdalen_n._ A reformed prostitute.
Magdaleon_n._ A medicine in the form of a roll, a esp. a roll of plaster.
Magdeburg_n._ A city of Saxony.
Mage_n._ A magician.
Magellanic_a._ Of or pertaining to, or named from, Magellan, the navigator.
Magenta_n._ An aniline dye obtained as an amorphous substance having a green bronze surface color, which dissolves to a shade of red; also, the color; -- so called from Magenta, in Italy, in allusion to the battle fought there about the time the dye was discovered. Called also fuchsine, roseine, etc.
Magged_a._ Worn; fretted; as, a magged brace.
Maggiore_a._ Greater, in respect to scales, intervals, etc., when used in opposition to minor; major.
Maggot_n._ The footless larva of any fly. See Larval._ A whim; an odd fancy.
Maggotiness_n._ State of being maggoty.
Maggotish_a._ Full of whims or fancies; maggoty.
Maggot-pie_n._ A magpie.
Maggoty_a._ Infested with maggots._ Full of whims; capricious.
Maghet_n._ A name for daisies and camomiles of several kinds.
Magi_n. pl._ A caste of priests, philosophers, and magicians, among the ancient Persians; hence, any holy men or sages of the East.
Magian_a._ Of or pertaining to the Magi.
Magian_n._ One of the Magi, or priests of the Zoroastrian religion in Persia; an adherent of the Zoroastrian religion.
Magic_a._ A comprehensive name for all of the pretended arts which claim to produce effects by the assistance of supernatural beings, or departed spirits, or by a mastery of secret forces in nature attained by a study of occult science, including enchantment, conjuration, witchcraft, sorcery, necromancy, incantation, etc._ Alt. of Magical
Magical_a._ Pertaining to the hidden wisdom supposed to be possessed by the Magi; relating to the occult powers of nature, and the producing of effects by their agency._ Performed by, or proceeding from, occult and superhuman agencies; done by, or seemingly done by, enchantment or sorcery. Hence: Seemingly requiring more than human power; imposing or startling in performance; producing effects which seem supernatural or very extraordinary; having extraordinary properties; as, a magic lantern; a magic square or circle.
Magically_adv._ In a magical manner; by magic, or as if by magic.
Magician_n._ One skilled in magic; one who practices the black art; an enchanter; a necromancer; a sorcerer or sorceress; a conjurer.
Magilp_n._ Alt. of Magilph
Magilph_n._ See Megilp.
Magister_n._ Master; sir; -- a title of the Middle Ages, given to a person in authority, or to one having a license from a university to teach philosophy and the liberal arts.
Magisterial_a._ Of or pertaining to a master or magistrate, or one in authority; having the manner of a magister; official; commanding; authoritative. Hence: Overbearing; dictatorial; dogmatic._ Pertaining to, produced by, or of the nature of, magistery. See Magistery, 2.
Magisteriality_n._ Magisterialness; authoritativeness.
Magisterially_adv._ In a magisterial manner.
Magisterialness_n._ The quality or state of being magisterial.
Magistery_n._ Mastery; powerful medical influence; renowned efficacy; a sovereign remedy._ A magisterial injunction._ A precipitate; a fine substance deposited by precipitation; -- applied in old chemistry to certain white precipitates from metallic solutions; as, magistery of bismuth.
Magistracies_pl. _ of Magistracy
Magistracy_n._ The office or dignity of a magistrate._ The collective body of magistrates.
Magistral_a._ Pertaining to a master; magisterial; authoritative; dogmatic._ Commanded or prescribed by a magister, esp. by a doctor; hence, effectual; sovereign; as, a magistral sirup._ Formulated extemporaneously, or for a special case; -- opposed to officinal, and said of prescriptions and medicines.
Magistral_n._ A sovereign medicine or remedy._ A magistral line._ Powdered copper pyrites used in the amalgamation of ores of silver, as at the Spanish mines of Mexico and South America.
-ties_pl. _ of Magistrality
Magistrality_n._ Magisterialness; arbitrary dogmatism.
Magistrally_adv._ In a magistral manner.
Magistrate_n._ A person clothed with power as a public civil officer; a public civil officer invested with the executive government, or some branch of it.
Magistratic_a._ Alt. of Magistratical
Magistratical_a._ Of, pertaining to, or proceeding from, a magistrate; having the authority of a magistrate.
Magistrature_n._ Magistracy.
Magma_n._ Any crude mixture of mineral or organic matters in the state of a thin paste._ A thick residuum obtained from certain substances after the fluid parts are expressed from them; the grounds which remain after treating a substance with any menstruum, as water or alcohol._ A salve or confection of thick consistency._ The molten matter within the earth, the source of the material of lava flows, dikes of eruptive rocks, etc._ The glassy base of an eruptive rock._ The amorphous or homogenous matrix or ground mass, as distinguished from well-defined crystals; as, the magma of porphyry.
Magna Charta__ The great Charter, so called, obtained by the English barons from King John, A. D. 1215. This name is also given to the charter granted to the people of England in the ninth year of Henry III., and confirmed by Edward I._ Hence, a fundamental constitution which guaranties rights and privileges.
Magnality_n._ A great act or event; a great attainment.
Magnanimity_n._ The quality of being magnanimous; greatness of mind; elevation or dignity of soul; that quality or combination of qualities, in character, which enables one to encounter danger and trouble with tranquility and firmness, to disdain injustice, meanness and revenge, and to act and sacrifice for noble objects.
Magnanimous_a._ Great of mind; elevated in soul or in sentiment; raised above what is low, mean, or ungenerous; of lofty and courageous spirit; as, a magnanimous character; a magnanimous conqueror._ Dictated by or exhibiting nobleness of soul; honorable; noble; not selfish.
Magnanimously_adv._ In a magnanimous manner; with greatness of mind.
Magnase black__ A black pigment which dries rapidly when mixed with oil, and is of intense body.
Magnate__ A person of rank; a noble or grandee; a person of influence or distinction in any sphere._ One of the nobility, or certain high officers of state belonging to the noble estate in the national representation of Hungary, and formerly of Poland.
Magnes_n._ Magnet.
Magnesia_n._ A light earthy white substance, consisting of magnesium oxide, and obtained by heating magnesium hydrate or carbonate, or by burning magnesium. It has a slightly alkaline reaction, and is used in medicine as a mild antacid laxative. See Magnesium.
Magnesian_a._ Pertaining to, characterized by, or containing, magnesia or magnesium.
Magnesic_a._ Pertaining to, or containing, magnesium; as, magnesic oxide.
Magnesite_n._ Native magnesium carbonate occurring in white compact or granular masses, and also in rhombohedral crystals.
Magnesium_n._ A light silver-white metallic element, malleable and ductile, quite permanent in dry air but tarnishing in moist air. It burns, forming (the oxide) magnesia, with the production of a blinding light (the so-called magnesium light) which is used in signaling, in pyrotechny, or in photography where a strong actinic illuminant is required. Its compounds occur abundantly, as in dolomite, talc, meerschaum, etc. Symbol Mg. Atomic weight, 24.4. Specific gravity, 1.75.
Magnet_n._ The loadstone; a species of iron ore (the ferrosoferric or magnetic ore, Fe3O4) which has the property of attracting iron and some of its ores, and, when freely suspended, of pointing to the poles; -- called also natural magnet._ A bar or mass of steel or iron to which the peculiar properties of the loadstone have been imparted; -- called, in distinction from the loadstone, an artificial magnet.
Magnetic_a._ Alt. of Magnetical
Magnetical_a._ Pertaining to the magnet; possessing the properties of the magnet, or corresponding properties; as, a magnetic bar of iron; a magnetic needle._ Of or pertaining to, or characterized by, the earth's magnetism; as, the magnetic north; the magnetic meridian._ Capable of becoming a magnet; susceptible to magnetism; as, the magnetic metals._ Endowed with extraordinary personal power to excite the feelings and to win the affections; attractive; inducing attachment._ Having, susceptible to, or induced by, animal magnetism, so called; as, a magnetic sleep. See Magnetism.
Magnetic_n._ A magnet._ Any metal, as iron, nickel, cobalt, etc., which may receive, by any means, the properties of the loadstone, and which then, when suspended, fixes itself in the direction of a magnetic meridian.
Magnetically_adv._ By or as by, magnetism.
Magneticalness_n._ Quality of being magnetic.
Magnetician_n._ One versed in the science of magnetism; a magnetist.
Maneticness_n._ Magneticalness.
Magnetics_n._ The science of magnetism.
Magnetiferous_a._ Producing or conducting magnetism.
Magnetism_n._ The property, quality, or state, of being magnetic; the manifestation of the force in nature which is seen in a magnet._ The science which treats of magnetic phenomena._ Power of attraction; power to excite the feelings and to gain the affections.
Magnetist_n._ One versed in magnetism.
Magnetite_n._ An oxide of iron (Fe3O4) occurring in isometric crystals, also massive, of a black color and metallic luster. It is readily attracted by a magnet and sometimes possesses polarity, being then called loadstone. It is an important iron ore. Called also magnetic iron.
Magnetizable_a._ Capable of magnetized.
Magnetization_n._ The act of magnetizing, or the state of being magnetized.
Magnetized_imp. & p. p._ of Magnetize
Magnetizing_prep. & adv._ of Magnetize
Magnetize_v. t._ To communicate magnetic properties to; as, to magnetize a needle._ To attract as a magnet attracts, or like a magnet; to move; to influence._ To bring under the influence of animal magnetism.
Magnetizee_n._ A person subjected to the influence of animal magnetism.
Magnetizer_n._ One who, or that which, imparts magnetism.
Magneto-__ A prefix meaning pertaining to, produced by, or in some way connected with, magnetism.
Magneto-electric_a._ Alt. of Magneto-electrical
Magneto-electrical_a._ Pertaining to, or characterized by, electricity by the action of magnets; as, magneto-electric induction.
