Ba_v. i._ To kiss.
Bablah_n._ The ring of the fruit of several East Indian species of acacia; neb-neb. It contains gallic acid and tannin, and is used for dyeing drab.
Baboo_n._ Alt. of Babu
Babu_n._ A Hindoo gentleman; a native clerk who writes English; also, a Hindoo title answering to Mr.  or Esquire.
Baboon_n._ One of the Old World Quadrumana, of the genera Cynocephalus and Papio; the dog-faced ape. Baboons have dog-like muzzles and large canine teeth, cheek pouches, a short tail, and naked callosities on the buttocks. They are mostly African. See Mandrill, and Chacma, and Drill an ape.
Baboonery_n._ Baboonish behavior.
Baboonish_a._ Like a baboon.
Babies_pl. _ of Baby
Baby_n._ An infant or young child of either sex; a babe._ A small image of an infant; a doll.
Baby_a._ Pertaining to, or resembling, an infant; young or little; as, baby swans.
Babied_imp. & p. p._ of Baby
Babying_p. pr. & vb. n._ of Baby
Baby_v. i._ To treat like a young child; to keep dependent; to humor; to fondle.
Baby farm__ A place where the nourishment and care of babies are offered for hire.
Baby farmer__ One who keeps a baby farm.
Baby farming__ The business of keeping a baby farm.
Babyhood_n._ The state or period of infancy.
Babyhouse_a._ A place for children's dolls and dolls' furniture.
Babyish_a._ Like a baby; childish; puerile; simple.
Babyism_n._ The state of being a baby._ A babyish manner of acting or speaking.
Baby jumper__ A hoop suspended by an elastic strap, in which a young child may be held secure while amusing itself by jumping on the floor.
Babylonian_a._ Of or pertaining to the real or to the mystical Babylon, or to the ancient kingdom of Babylonia; Chaldean.
Babylonian_n._ An inhabitant of Babylonia  (which included Chaldea); a Chaldean._ An astrologer; -- so called because the Chaldeans were remarkable for the study of astrology.
Babylonic_a._ Alt. of Babylonical
Babylonical_a._ Pertaining to Babylon, or made there; as, Babylonic garments, carpets, or hangings._ Tumultuous; disorderly.
Babylonish_n._ Of or pertaining to, or made in, Babylon or Babylonia._ Pertaining to the Babylon of Revelation xiv. 8._ Pertaining to Rome and papal power._ Confused; Babel-like.
Babyroussa_n._ Alt. of Babyrussa
Babyrussa_n._ See Babyroussa.
Babyship_n._ The quality of being a baby; the personality of an infant.
Bac_n._ A broad, flatbottomed ferryboat, usually worked by a rope._ A vat or cistern. See 1st Back.
Baccalaureate_n._ The degree of bachelor of arts. (B.A. or A.B.), the first or lowest academical degree conferred by universities and colleges._ A baccalaureate sermon.
Baccalaureate_a._ Pertaining to a bachelor of arts.
Baccara_n._ Alt. of Baccarat
Baccarat_n._ A French game of cards, played by a banker and punters.
Baccare_interj._ Alt. of Backare
Backare_interj._ Stand back! give place! -- a cant word of the Elizabethan writers, probably in ridicule of some person who pretended to a knowledge of Latin which he did not possess.
Baccate_a._ Pulpy throughout, like a berry; -- said of fruits.
Baccated_a._ Having many berries._ Set or adorned with pearls.
Bacchanal_a._ Relating to Bacchus or his festival._ Engaged in drunken revels; drunken and riotous or noisy.
Bacchanal_n._ A devotee of Bacchus; one who indulges in drunken revels; one who is noisy and riotous when intoxicated; a carouser._ The festival of Bacchus; the bacchanalia._ Drunken revelry; an orgy._ A song or dance in honor of Bacchus.
Bacchanalia_n. pl._ A feast or an orgy in honor of Bacchus._ Hence: A drunken feast; drunken reveler.
Bacchanalian_a._ Of or pertaining to the festival of Bacchus; relating to or given to reveling and drunkenness.
Bacchanalian_n._ A bacchanal; a drunken reveler.
Bacchanalianism_n._ The practice of bacchanalians; bacchanals; drunken revelry.
Bacchants_pl. _ of Bacchant
Bacchantes_pl. _ of Bacchant
Bacchant_n._ A priest of Bacchus._ A bacchanal; a reveler.
Bacchant_a._ Bacchanalian; fond of drunken revelry; wine-loving; reveling; carousing.
Bacchantes_pl. _ of Bacchante
Bacchante_n._ A priestess of Bacchus._ A female bacchanal.
Bacchantic_a._ Bacchanalian.
Bacchic_a._ Alt. of Bacchical
Bacchical_a._ Of or relating to Bacchus; hence, jovial, or riotous,with intoxication.
Bacchii_pl. _ of Bacchius
Bacchius_n._ A metrical foot composed of a short syllable and two long ones; according to some, two long and a short.
Bacchus_n._ The god of wine, son of Jupiter and Semele.
Bacciferous_a._ Producing berries.
Bacciform_a._ Having the form of a berry.
Baccivorous_a._ Eating, or subsisting on, berries; as, baccivorous birds.
Bace_n., a., & v._ See Base.
Bacharach_n._ Alt. of Backarack
Backarack_n._ A kind of wine made at Bacharach on the Rhine.
Bachelor_n._ A man of any age who has not been married._ An unmarried woman._ A person who has taken the first or lowest degree in the liberal arts, or in some branch of science, at a college or university; as, a bachelor of arts._ A knight who had no standard of his own, but fought under the standard of another in the field; often, a young knight._ In the companies of London tradesmen, one not yet admitted to wear the livery; a junior member._ A kind of bass, an edible fresh-water fish (Pomoxys annularis) of the southern United States.
Bachelordom_n._ The state of bachelorhood; the whole body of bachelors.
Bachelorhood_n._ The state or condition of being a bachelor; bachelorship.
Bachelorism_n._ Bachelorhood; also, a manner or peculiarity belonging to bachelors.
Bachelor's button__ A plant with flowers shaped like buttons; especially, several species of Ranunculus, and the cornflower (Centaures cyanus) and globe amaranth (Gomphrena).
Bachelorship_n._ The state of being a bachelor.
Bachelry_n._ The body of young aspirants for knighthood.
Bacillar_a._ Shaped like a rod or staff.
Bacillariae_n. pl._ See Diatom.
Bacillary_a._ Of or pertaining to little rods; rod-shaped.
Bacilliform_a._ Rod-shaped.
Bacilli_pl. _ of Bacillus
Bacillus_n._ A variety of bacterium; a microscopic, rod-shaped vegetable organism.
Back_n._ A large shallow vat; a cistern, tub, or trough, used by brewers, distillers, dyers, picklers, gluemakers, and others, for mixing or cooling wort, holding water, hot glue, etc._ A ferryboat.  See Bac, 1._ In human beings, the hinder part of the body, extending from the neck to the end of the spine; in other animals, that part of the body which corresponds most nearly to such part of a human being; as, the back of a horse, fish, or lobster._ An extended upper part, as of a mountain or ridge._ The outward or upper part of a thing, as opposed to the inner or lower part; as, the back of the hand, the back of the foot, the back of a hand rail._ The part opposed to the front; the hinder or rear part of a thing; as, the back of a book; the back of an army; the back of a chimney._ The part opposite to, or most remote from, that which fronts the speaker or actor; or the part out of sight, or not generally seen; as, the back of an island, of a hill, or of a village._ The part of a cutting tool on the opposite side from its edge; as, the back of a knife, or of a saw._ A support or resource in reserve._ The keel and keelson of a ship._ The upper part of a lode, or the roof of a horizontal underground passage._ A garment for the back; hence, clothing.
Back_a._ Being at the back or in the rear; distant; remote; as, the back door; back settlements._ Being in arrear; overdue; as, back rent._ Moving or operating backward; as, back action.
Backed_imp. & p. p._ of Back
Backing_p. pr. & vb. n._ of Back
Back_v. i._ To get upon the back of; to mount._ To place or seat upon the back._ To drive or force backward; to cause to retreat or recede; as, to back oxen._ To make a back for; to furnish with a back; as, to back books._ To adjoin behind; to be at the back of._ To write upon the back of; as, to back a letter; to indorse; as, to back a note or legal document._ To support; to maintain; to second or strengthen by aid or influence; as, to back a friend._ To bet on the success of; -- as, to back a race horse._ To move or go backward; as, the horse refuses to back._ To change from one quarter to another by a course opposite to that of the sun; -- used of the wind._ To stand still behind another dog which has pointed; -- said of a dog.
Back_adv._ In, to, or toward, the rear; as, to stand back; to step back._ To the place from which one came; to the place or person from which something is taken or derived; as, to go back for something left behind; to go back to one's native place; to put a book back after reading it._ To a former state, condition, or station; as, to go back to private life; to go back to barbarism._ (Of time) In times past; ago._ Away from contact; by reverse movement._ In concealment or reserve; in one's own possession; as, to keep back the truth; to keep back part of the money due to another._ In a state of restraint or hindrance._ In return, repayment, or requital._ In withdrawal from a statement, promise, or undertaking; as, he took back0 the offensive words._ In arrear; as, to be back in one's rent.
Backarack_n._ See Bacharach.
Backare_interj._ Same as Baccare.
Backband_n._ The band which passes over the back of a horse and holds up the shafts of a carriage.
Backbite_v. i._ To wound by clandestine detraction; to censure meanly or spitefully (an absent person); to slander or speak evil of (one absent)._ To censure or revile the absent.
Backbiter_n._ One who backbites; a secret calumniator or detractor.
Backbiting_n._ Secret slander; detraction.
Backboard_n._ A board which supports the back wen one is sitting;_ A board serving as the back part of anything, as of a wagon._ A thin stuff used for the backs of framed pictures, mirrors, etc._ A board attached to the rim of a water wheel to prevent the water from running off the floats or paddies into the interior of the wheel._ A board worn across the back to give erectness to the figure.
Backbond_n._ An instrument which, in conjunction with another making an absolute disposition, constitutes a trust.
Backbone_n._ The column of bones in the back which sustains and gives firmness to the frame; the spine; the vertebral or spinal column._ Anything like , or serving the purpose of, a backbone._ Firmness; moral principle; steadfastness.
Backboned_a._ Vertebrate.
Backcast_n._ Anything which brings misfortune upon one, or causes failure in an effort or enterprise; a reverse.
Back door__ A door in the back part of a building; hence, an indirect way.
Backdoor_a._ Acting from behind and in concealment; as, backdoor intrigues.
Backdown_n._ A receding or giving up; a complete      surrender.
Backed_a._ Having a back; fitted with a back; as, a backed electrotype or stereotype plate.  Used in composition; as, broad-backed; hump-backed.
Backer_n._ One who, or that which, backs; especially one who backs a person or thing in a contest.
Backfall_n._ A fall or throw on the back in wrestling.
Backfriend_n._ A secret enemy.
Backgammon_n._" A game of chance and skill, played by two persons on a ""board"" marked off into twenty-four spaces called ""points"". Each player has fifteen pieces, or ""men"", the movements of which from point to point are determined by throwing dice.  Formerly called tables."
Backgammon_v. i._" In the game of backgammon, to beat by ending the game before the loser is clear of his first ""table""."
Background_n._ Ground in the rear or behind, or in the distance, as opposed to the foreground, or the ground in front._ The space which is behind and subordinate to a portrait or group of figures._ Anything behind, serving as a foil; as, the statue had a background of red hangings._ A place in obscurity or retirement, or out of sight.
Backhand_n._ A kind of handwriting in which the downward slope of the letters is from left to right.
Backhand_a._ Sloping from left to right; -- said of handwriting._ Backhanded; indirect; oblique.
Backhanded_a._ With the hand turned backward; as, a backhanded blow._ Indirect; awkward; insincere; sarcastic; as, a backhanded compliment._ Turned back, or inclining to the left; as, a backhanded letters.
Backhandedness_n._ State   of being backhanded; the using of backhanded or indirect methods.
Backhander_n._ A backhanded blow.
Backhouse_n._ A building behind the main building. Specifically: A privy; a necessary.
Backing_n._ The act of moving backward, or of putting or moving anything backward._ That which is behind, and forms the back of, anything, usually giving strength or stability._ Support or aid given to a person or cause._ The preparation of the back of a book with glue, etc., before putting on the cover.
Backjoint_n._ A rebate or chase in masonry left to receive a permanent slab or other filling.
Backlash_n._ The distance through which one part of connected machinery, as a wheel, piston, or screw, can be moved without moving the connected parts, resulting from looseness in fitting or from wear; also, the jarring or reflex motion caused in badly fitting machinery by irregularities in velocity or a reverse of motion.
Backless_a._ Without a back.
Backlog_n._ A large stick of wood, forming the back of a fire on the hearth.
Backpiece_n._ Alt. of Backplate
Backplate_n._ A piece, or plate which forms the back of anything, or which covers the back; armor for the back.
Backrack_n._ Alt. of Backrag
Backrag_n._ See Bacharach.
Backs_n.  pl._ Among leather dealers, the thickest and stoutest tanned hides.
Backsaw_n._ A saw (as a tenon saw) whose blade is stiffened by an added metallic back.
Backset_n._ A check; a relapse; a discouragement; a setback._ Whatever is thrown back in its course, as water.
Backset_v. i._ To plow again, in the fall; -- said of prairie land broken up in the spring.
Backsettler_n._ One living in the back or outlying districts of a community.
Backsheesh_n._ Alt. of Backshish
Backshish_n._" In Egypt and the Turkish empire, a gratuity; a ""tip""."
Backside_n._ The hinder part, posteriors, or rump of a person or animal.
Backsight_n._ The reading of the leveling staff in its unchanged position when the leveling instrument has been taken to a new position; a sight directed backwards to a station previously occupied.  Cf. Foresight, n., 3.
Backslid_imp._ of Backslide
Backslidden_p. p._ of Backslide
Backslid__ of Backslide
Backsliding_p. pr. & vb. n._ of Backslide
Backslide_v. i._ To slide back; to fall away; esp. to abandon gradually the faith and practice of a religion that has been professed.
Backslider_n._ One who backslides.
Backsliding_a._ Slipping back; falling back into sin or error; sinning.
Backsliding_n._ The act of one who backslides; abandonment of faith or duty.
Backstaff_n._ An instrument formerly used for taking the altitude of the heavenly bodies, but now superseded by the quadrant and sextant; -- so called because the observer turned his back to the body observed.
Back stairs__ Stairs in the back part of a house, as distinguished from the front stairs; hence, a private or indirect way.
Backstairs_a._ Alt. of Backstair
Backstair_a._ Private; indirect; secret; intriguing; -- as if finding access by the back stairs.
Backstay_n._ A rope or stay extending from the masthead to the side of a ship, slanting a little aft, to assist the shrouds in supporting the mast._ A rope or strap used to prevent excessive forward motion.
Backster_n._ A backer.
Backstitch_n._ A stitch made by setting the needle back of the end of the last stitch, and bringing it out in front of the end.
Backstitch_v. i._ To sew with backstitches; as, to backstitch a seam.
Backstress_n._ A female baker.
Backsword_n._ A sword with one sharp edge._ In   England, a stick with a basket handle, used in rustic amusements; also, the game in which the stick is used.  Also called singlestick.
Backward_adv._ Alt. of Backwards
Backwards_adv._ With the back in advance or foremost; as, to ride backward._ Toward the back; toward the rear; as, to throw the arms backward._ On the back, or with the back downward._ Toward, or in, past time or events; ago._ By way of reflection; reflexively._ From a better to a worse state, as from honor to shame, from religion to sin._ In a contrary or reverse manner, way, or direction; contrarily; as, to read backwards.
Backward_a._ Directed to the back or rear; as, backward glances._ Unwilling; averse; reluctant; hesitating; loath._ Not well advanced in learning; not quick of apprehension; dull; inapt; as, a backward child._ Late or behindhand; as, a backward season._ Not advanced in civilization; undeveloped; as, the country or region is in a backward state._ Already past or gone; bygone.
Backward_n._ The state behind or past.
Backward_v. i._ To keep back; to hinder.
Backwardation_n._ The seller's postponement of delivery of stock or shares, with the consent of the buyer, upon payment of a premium to the latter; -- also, the premium so paid. See Contango.
Backwardly_adv._ Reluctantly; slowly; aversely._ Perversely; ill.
Backwardness_n._ The state of being backward.
Backwash_v. i._ To clean the oil from (wood) after combing.
Backwater_n._ Water turned back in its course by an obstruction, an opposing current , or the flow of the tide, as in a sewer or river channel, or across a river bar._ An accumulation of water overflowing the low lands, caused by an obstruction._ Water thrown back by the turning of a waterwheel, or by the paddle wheels of a steamer.
Backwoods_n.  pl._ The forests or partly cleared grounds on the frontiers.
Backwoodsmen_pl. _ of Backwoodsman
Backwoodsman_n._ A man living in the forest in or beyond the new settlements, especially on the western frontiers of the older portions of the United States.
Backworm_n._ A disease of hawks. See Filanders.
Bacon_n._ The back and sides of a pig salted and smoked; formerly, the flesh of a pig salted or fresh.
Baconian_a._ Of or pertaining to Lord Bacon, or to his system of philosophy.
Bacteria_n.p._ See Bacterium.
Bacterial_a._ Of or pertaining to bacteria.
Bactericidal_a._ Destructive of bacteria.
Bactericide_n._ Same as Germicide.
Bacteriological_a._ Of or pertaining to bacteriology; as, bacteriological studies.
Bacteriologist_n._ One skilled in bacteriology.
Bacteriology_n._ The science relating to bacteria.
Bacterioscopic_a._ Relating   to   bacterioscopy; as, a bacterioscopic examination.
Bacterioscopist_n._ One   skilled   in    bacterioscopic examinations.
Bacterioscopy_n._ The application of a knowledge of bacteria for their detection and identification, as in the examination of polluted water.
Bacteria_pl. _ of Bacterium
Bacterium_n._ A microscopic vegetable organism, belonging to the class Algae, usually in the form of a jointed rodlike filament, and found in putrefying organic infusions.  Bacteria are destitute of chlorophyll, and are the smallest of microscopic organisms. They are very widely diffused in nature, and multiply with marvelous rapidity, both by fission and by spores. Certain species are active agents in fermentation, while others appear to be the cause of certain infectious diseases. See Bacillus.
Bacteroid_a._ Alt. of Bacteroidal
Bacteroidal_a._ Resembling bacteria; as, bacteroid particles.
Bactrian_a._ Of or pertaining to Bactria in Asia.
Bactrian_n._ A native of Bactria.
Bacule_n._ See Bascule.
Baculine_a._ Of or pertaining to the rod or punishment with the rod.
Baculite_n._ A cephalopod of the extinct genus Baculites, found fossil in the Cretaceous rocks. It is like an uncoiled ammonite.
Baculometry_n._ Measurement of distance or altitude by a staff or staffs.
Bad_imp._ Bade.
Bad_superl._ Wanting good qualities, whether physical or moral; injurious, hurtful, inconvenient, offensive, painful, unfavorable, or defective, either physically or morally; evil; vicious; wicked; -- the opposite of good; as, a bad man; bad conduct; bad habits; bad soil; bad health; bad crop; bad news.
Badder__ compar. of Bad, a.
Badderlocks_n._ A large black seaweed (Alaria esculenta) sometimes eaten in Europe; -- also called murlins, honeyware, and henware.
Baddish_a._ Somewhat bad; inferior.
Bade__ A form of the pat tense of Bid.
Badge_n._ A distinctive mark, token, sign, or cognizance, worn on the person; as, the badge of a society; the badge of a policeman._ Something characteristic; a mark; a token._ A carved ornament on the stern of a vessel, containing a window or the representation of one.
Badge_v. t._ To mark or distinguish with a badge.
Badgeless_a._ Having no badge.
Badger_n._ An itinerant licensed dealer in commodities used for food; a hawker; a huckster; -- formerly applied especially to one who bought grain in one place and sold it in another._ A carnivorous quadruped of the genus Meles or of an allied genus.  It is a burrowing animal, with short, thick legs, and long claws on the fore feet.  One species (M.  vulgaris), called also brock, inhabits the north of Europe and Asia; another species (Taxidea Americana / Labradorica) inhabits the northern parts of North America. See Teledu._ A brush made of badgers' hair, used by artists.
Badgered_imp. & p. p._ of Badger
Badgering_p. pr. & vb. n._ of Badger
Badger_v. t._ To tease or annoy, as a badger when baited; to worry or irritate persistently._ To beat down; to cheapen; to barter; to bargain.
Badgerer_n._ One who badgers._ A kind of dog used in badger baiting.
Badgering_n._ The act of one who badgers._ The practice of buying wheat and other kinds of food in one place and selling them in another for a profit.
Badger-legged_a._ Having legs of unequal length, as the badger was thought to have.
Badiaga_n._ A fresh-water sponge (Spongilla), common in the north of Europe, the powder of which is used to take away the livid marks of bruises.
Badian_n._ An evergreen Chinese shrub of the Magnolia family (Illicium anisatum), and its aromatic seeds; Chinese anise; star anise.
Badigeon_n._ A cement or paste (as of plaster and freestone, or of sawdust and glue or lime) used by sculptors, builders, and workers in wood or stone, to fill holes, cover defects, or finish a surface.
Badinage_n._ Playful raillery; banter.
Bad lands__ Barren regions, especially in the western United States, where horizontal strata (Tertiary deposits) have been often eroded into fantastic forms, and much intersected by ca�ons, and where lack of wood, water, and forage increases the difficulty of traversing the country, whence the name, first given by the Canadian French, Mauvaises Terres (bad lands).
Badly_adv._ In a bad manner; poorly; not well; unskillfully; imperfectly; unfortunately; grievously; so as to cause harm; disagreeably; seriously.
Badminton_n._ A game, similar to lawn tennis, played with shuttlecocks._ A preparation of claret, spiced and sweetened.
Badness_n._ The state of being bad.
Baenomere_n._ One of the somites (arthromeres) that make up the thorax of Arthropods.
Baenopod_n._ One of the thoracic legs of Arthropods.
Baenosome_n._ The thorax of Arthropods.
Baff_n._ A blow; a stroke.
Baffled_imp. & p. p._ of Baffle
Baffling_p. pr. & vb. n._ of Baffle
Baffle_v. t._ To cause to undergo a disgraceful punishment, as a recreant knight._ To check by shifts and turns; to elude; to foil._ To check by perplexing; to disconcert, frustrate, or defeat; to thwart.
Baffle_v. i._ To practice deceit._ To struggle against in vain; as, a ship baffles with the winds.
Baffle_n._ A defeat by artifice, shifts, and turns; discomfiture.
Bafflement_n._ The process or act of baffling, or of being baffled; frustration; check.
Baffler_n._ One who, or that which, baffles.
Baffling_a._ Frustrating; discomfiting; disconcerting; as, baffling currents, winds, tasks.
Baft_n._ Same as Bafta.
Bafta_n._ A coarse stuff, usually of cotton, originally made in India. Also, an imitation of this fabric made for export.
Bag_n._ A sack or pouch, used for holding anything; as, a bag of meal or of money._ A sac, or dependent gland, in animal bodies, containing some fluid or other substance; as, the bag of poison in the mouth of some serpents; the bag of a cow._ A sort of silken purse formerly tied about men's hair behind, by way of ornament._ The quantity of game bagged._ A certain quantity of a commodity, such as it is customary to carry to market in a sack; as, a bag of pepper or hops; a bag of coffee.
Bagged_imp. & p. p._ of Bag
Bagging_p. pr. & vb. n._ of Bag
Bag_v. t._ To put into a bag; as, to bag hops._ To seize, capture, or entrap; as, to bag an army; to bag game._ To furnish or load with a bag or with a well filled bag.
Bag_v. i._ To swell or hang down like a full bag; as, the skin bags from containing morbid matter._ To swell with arrogance._ To become pregnant.
Bagasse_n._ Sugar cane, as it comes crushed from the mill. It is then dried and used as fuel. Also extended to the refuse of beetroot sugar.
Bagatelle_n._ A trifle; a thing of no importance._ A game played on an oblong board, having, at one end, cups or arches into or through which balls are to be driven by a rod held in the hand of the player.
Baggage_n._ The clothes, tents, utensils, and provisions of an army._ The trunks, valises, satchels, etc., which a traveler carries with him on a journey; luggage._ Purulent matter._ Trashy talk._ A man of bad character._ A woman of loose morals; a prostitute._ A romping, saucy girl.
Baggage master__ One who has charge of the baggage at a railway station or upon a line of public travel.
Baggager_n._ One who takes care of baggage; a camp follower.
Baggala_n._ A two-masted Arab or Indian trading vessel, used in Indian Ocean.
Baggily_adv._ In a loose, baggy way.
Bagging_n._ Cloth or other material for bags._ The act of putting anything into, or as into, a bag._ The act of swelling; swelling._ Reaping peas, beans, wheat, etc., with a chopping stroke.
Baggy_a._ Resembling a bag; loose or puffed out, or pendent, like a bag; flabby; as, baggy trousers; baggy cheeks.
Bagmen_pl. _ of Bagman
Bagman_n._ A commercial traveler; one employed to solicit orders for manufacturers and tradesmen.
Bag net__ A bag-shaped net for catching fish.
Bagnio_n._ A house for bathing, sweating, etc.; -- also, in Turkey, a prison for slaves._ A brothel; a stew; a house of prostitution.
Bagpipe_n._ A musical wind instrument, now used chiefly in the Highlands of Scotland.
Bagpipe_v. t._ To make to look like a bagpipe.
Bagpiper_n._ One who plays on a bagpipe; a piper.
Bagreef_n._ The lower reef of fore and aft sails; also, the upper reef of topsails.
Bague_n._ The annular molding or group of moldings dividing a long shaft or clustered column into two or more parts.
Baguet_n._ Alt. of Baguette
Baguette_n._ A small molding, like the astragal, but smaller; a bead._ One of the minute bodies seen in the divided nucleoli of some Infusoria after conjugation.
Bagwig_n._ A wig, in use in the 18th century, with the hair at the back of the head in a bag.
Bagworm_n._ One of several lepidopterous insects which construct, in the larval state, a baglike case which they carry about for protection. One species (Platoeceticus Gloveri) feeds on the orange tree. See Basket worm.
Bah_interj._ An exclamation expressive of extreme contempt.
Bahar_n._ A weight used in certain parts of the East Indies, varying considerably in different localities, the range being from 223 to 625 pounds.
Baigne_v. i._ To soak or drench.
Bail_n._ A bucket or scoop used in bailing water out of a boat.
Bailed_imp. & p. p._ of Bail
Bailing_p. pr. & vb. n._ of Bail
Bail_v. t._ To lade; to dip and throw; -- usually with out; as, to bail water out of a boat._ To dip or lade water from; -- often with out to express completeness; as, to bail a boat.
Bail_v./t._ To deliver; to release._ To set free, or deliver from arrest, or out of custody, on the undertaking of some other person or persons that he or they will be responsible for the appearance, at a certain day and place, of the person bailed._ To deliver, as goods in trust, for some special object or purpose, upon a contract, expressed or implied, that the trust shall be faithfully executed on the part of the bailee, or person intrusted; as, to bail cloth to a tailor to be made into a garment; to bail goods to a carrier.
Bail_n._ Custody; keeping._ The person or persons who procure the release of a prisoner from the custody of the officer, or from imprisonment, by becoming surely for his appearance in court._ The security given for the appearance of a prisoner in order to obtain his release from custody of the officer; as, the man is out on bail; to go bail for any one._ The arched handle of a kettle, pail, or similar vessel, usually movable._ A half hoop for supporting the cover of a carrier's wagon, awning of a boat, etc._ A line of palisades serving as an exterior defense._ The outer wall of a feudal castle. Hence: The space inclosed by it; the outer court._ A certain limit within a forest._ A division for the stalls of an open stable._ The top or cross piece ( or either of the two cross pieces) of the wicket.
Bailable_a._ Having the right or privilege of being admitted to bail, upon bond with sureties; -- used of persons._ Admitting of bail; as, a bailable offense._ That can be delivered in trust; as, bailable goods.
Bail bond__ A bond or obligation given by a prisoner and his surety, to insure the prisoner's appearance in court, at the return of the writ._ Special bail in court to abide the judgment.
Bailee_n._ The person to whom goods are committed in trust, and who has a temporary possession and a qualified property in them, for the purposes of the trust.
Bailer_n._ See Bailor._ One who bails or lades._ A utensil, as a bucket or cup, used in bailing; a machine for bailing water out of a pit.
Bailey_n._ The outer wall of a feudal castle._ The space immediately within the outer wall of a castle or fortress._ A prison or court of justice; -- used in certain proper names; as, the Old Bailey in London; the New Bailey in Manchester.
Bailie_n._ An officer in Scotland, whose office formerly corresponded to that of sheriff, but now corresponds to that of an English alderman.
Bailiff_n._ Originally, a person put in charge of something especially, a chief officer, magistrate, or keeper, as of a county, town, hundred, or castle; one to whom power/ of custody or care are intrusted._ A sheriff's deputy, appointed to make arrests, collect fines, summon juries, etc._ An overseer or under steward of an estate, who directs husbandry operations, collects rents, etc.
Bailiffwick_n._ See Bailiwick.
Bailiwick_n._ The precincts within which a bailiff has jurisdiction; the limits of a bailiff's authority.
Baillie_n._ Bailiff._ Same as Bailie.
Bailment_n._ The action of bailing a person accused._ A delivery of goods or money by one person to another in trust, for some special purpose, upon a contract, expressed or implied, that the trust shall be faithfully executed.
Bailor_n._ One who delivers goods or money to another in trust.
Bailpiece_n._ A piece of parchment, or paper, containing a recognizance or bail bond.
Bain_n._ A bath; a bagnio.
Bain-marie_n._ A vessel for holding hot water in which another vessel may be heated without scorching its contents; -- used for warming or preparing food or pharmaceutical preparations.
Bairam_n._ The name of two Mohammedan festivals, of which one is held at the close of the fast called Ramadan, and the other seventy days after the fast.
Bairn_n._ A child.
Baisemains_n. pl._ Respects; compliments.
Bait_v. i._ Any substance, esp. food, used in catching fish, or other animals, by alluring them to a hook, snare, inclosure, or net._ Anything which allures; a lure; enticement; temptation._ A portion of food or drink, as a refreshment taken on a journey; also, a stop for rest and refreshment._ A light or hasty luncheon.
Baited_imp. & p. p._ of Bait
Baiting_p. pr. & vb. n._ of Bait
Bait_v. t._ To provoke and harass; esp., to harass or torment for sport; as, to bait a bear with dogs; to bait a bull._ To give a portion of food and drink to, upon the road; as, to bait horses._ To furnish or cover with bait, as a trap or hook.
Bait_v. i._ To stop to take a portion of food and drink for refreshment of one's self or one's beasts, on a journey._ To flap the wings; to flutter as if to fly; or to hover, as a hawk when she stoops to her prey.
Baiter_n._ One who baits; a tormentor.
Baize_n._ A coarse woolen stuff with a long nap; -- usually dyed in plain colors.
