Dab_n._ A skillful hand; a dabster; an expert.
Dag_n._ A dagger; a poniard._ A large pistol formerly used._ The unbranched antler of a young deer._ A misty shower; dew._ A loose end; a dangling shred.
Dag_v. t._ To daggle or bemire._ To cut into jags or points; to slash; as, to dag a garment.
Dag_v. i._ To be misty; to drizzle.
Dagger_n._ A short weapon used for stabbing. This is the general term: cf. Poniard, Stiletto, Bowie knife, Dirk, Misericorde, Anlace._ A mark of reference in the form of a dagger [/]. It is the second in order when more than one reference occurs on a page; -- called also obelisk.
Dagger_v. t._ To pierce with a dagger; to stab.
Dagger_n._ A timber placed diagonally in a ship's frame.
Dagges_n. pl._ An ornamental cutting of the edges of garments, introduced about a. d. 1346, according to the Chronicles of St Albans.
Daggled_imp. & p. p._ of Daggle
Daggling_p. pr. & vb. n._ of Daggle
Daggle_v. t._ To trail, so as to wet or befoul; to make wet and limp; to moisten.
Daggle_v. i._ To run, go, or trail one's self through water, mud, or slush; to draggle.
Daggle-tail_a._ Alt. of Daggle-tailed
Daggle-tailed_a._ Having the lower ends of garments defiled by trailing in mire or filth; draggle-tailed.
Daggle-tail_n._ A slovenly woman; a slattern; a draggle-tail.
Daglock_n._ A dirty or clotted lock of wool on a sheep; a taglock.
Dagos_pl. _ of Dago
Dago_n._ A nickname given to a person of Spanish (or, by extension, Portuguese or Italian) descent.
Dagoba_n._ A dome-shaped structure built over relics of Buddha or some Buddhist saint.
Dagon__ The national god of the Philistines, represented with the face and hands and upper part of a man, and the tail of a fish.
Dagon_n._ A slip or piece.
Dagswain_n._ A coarse woolen fabric made of daglocks, or the refuse of wool.
Dag-tailed_a._ Daggle-tailed; having the tail clogged with daglocks.
Daguerrean_a._ Alt. of Daguerreian
Daguerreian_a._ Pertaining to Daguerre, or to his invention of the daguerreotype.
Daguerreotype_n._ An early variety of photograph, produced on a silver plate, or copper plate covered with silver, and rendered sensitive by the action of iodine, or iodine and bromine, on which, after exposure in the camera, the latent image is developed by the vapor of mercury._ The process of taking such pictures.
Daguerreotyped_imp. & p. p._ of Daguerreotype
Daguerreotyping_p. pr. & vb. n._ of Daguerreotype
Daguerreotype_v. t._ To produce or represent by the daguerreotype process, as a picture._ To impress with great distinctness; to imprint; to imitate exactly.
Daguerreotyper_n._ Alt. of Daguerreotypist
Daguerreotypist_n._ One who takes daguerreotypes.
Daguerreotypy_n._ The art or process of producing pictures by method of Daguerre.
Dahabeah_n._ A Nile boat constructed on the model of a floating house, having large lateen sails.
Dahlias_pl. _ of Dahlia
Dahlia_n._ A genus of plants native to Mexico and Central America, of the order Compositae; also, any plant or flower of the genus. The numerous varieties of cultivated dahlias bear conspicuous flowers which differ in color.
Dahlin_n._ A variety of starch extracted from the dahlia; -- called also inulin. See Inulin.
Dailiness_n._ Daily occurence.
Daily_a._ Happening, or belonging to, each successive day; diurnal; as, daily labor; a daily bulletin.
Dailies_pl. _ of Daily
Daily_n._ A publication which appears regularly every day; as, the morning dailies.
Daily_adv._ Every day; day by day; as, a thing happens daily.
Daimios_pl. _ of Daimio
Daimio_n._ The title of the feudal nobles of Japan.
Daint_n._ Something of exquisite taste; a dainty.
Daint_a._ Dainty.
Daintified_imp. & p. p._ of Daintify
Daintifying_p. pr. & vb. n._ of Daintify
Daintify_v. t._ To render dainty, delicate, or fastidious.
Daintily_adv._ In a dainty manner; nicely; scrupulously; fastidiously; deliciously; prettily.
Daintiness_n._ The quality of being dainty; nicety; niceness; elegance; delicacy; deliciousness; fastidiousness; squeamishness.
Daintrel_n._ Adelicacy.
Dainties_pl. _ of Dainty
Dainty_n._ Value; estimation; the gratification or pleasure taken in anything._ That which is delicious or delicate; a delicacy._ A term of fondness.
Dainty_superl._ Rare; valuable; costly._ Delicious to the palate; toothsome._ Nice; delicate; elegant, in form, manner, or breeding; well-formed; neat; tender._ Requiring dainties. Hence: Overnice; hard to please; fastidious; squeamish; scrupulous; ceremonious.
Dairies_pl. _ of Dairy
Dairy_n._ The place, room, or house where milk is kept, and converted into butter or cheese._ That department of farming which is concerned in the production of milk, and its conversion into butter and cheese._ A dairy farm.
Dairying_n._ The business of conducting a dairy.
Dairymaid_n._ A female servant whose business is the care of the dairy.
Dairymen_pl. _ of Dairyman
Dairyman_n._ A man who keeps or takes care of a dairy.
Dairywomen_pl. _ of Dairywoman
Dairywoman_n._ A woman who attends to a dairy.
Dais_n._ The high or principal table, at the end of a hall, at which the chief guests were seated; also, the chief seat at the high table._ A platform slightly raised above the floor of a hall or large room, giving distinction to the table and seats placed upon it for the chief guests._ A canopy over the seat of a person of dignity.
Daisied_a._ Full of daisies; adorned with daisies.
Daisies_pl. _ of Daisy
Daisy_n._ A genus of low herbs (Bellis), belonging to the family Compositae. The common English and classical daisy is B. prennis, which has a yellow disk and white or pinkish rays._ The whiteweed (Chrysanthemum Leucanthemum), the plant commonly called daisy in North America; -- called also oxeye daisy. See Whiteweed.
Dak_n._ Post; mail; also, the mail or postal arrangements; -- spelt also dawk, and dauk.
Daker_n._ Alt. of Dakir
Dakir_n._ A measure of certain commodities by number, usually ten or twelve, but sometimes twenty; as, a daker of hides consisted of ten skins; a daker of gloves of ten pairs.
Daker hen__ The corncrake or land rail.
Dakoit_n._ Alt. of Dakoity
Dakoity_n._ See Dacoit, Dacoity.
Dakota group__ A subdivision at the base of the cretaceous formation in Western North America; -- so named from the region where the strata were first studied.
Dakotas_n. pl_ An extensive race or stock of Indians, including many tribes, mostly dwelling west of the Mississippi River; -- also, in part, called Sioux.
Dal_n._ Split pulse, esp. of Cajanus Indicus.
Dale_n._ A low place between hills; a vale or valley._ A trough or spout to carry off water, as from a pump.
Dalesmen_pl. _ of Dalesman
Dalesman_n._ One living in a dale; -- a term applied particularly to the inhabitants of the valleys in the north of England, Norway, etc.
Dalf__ imp. of Delve.
Dalliance_n._ The act of dallying, trifling, or fondling; interchange of caresses; wanton play._ Delay or procrastination._ Entertaining discourse.
Dallier_n._ One who fondles; a trifler; as, dalliers with pleasant words.
Dallop_n._ A tuft or clump.
Dallied_imp. & p. p._ of Dally
Dallying_p. pr. & vb. n._ of Dally
Dally_v. i._ To waste time in effeminate or voluptuous pleasures, or in idleness; to fool away time; to delay unnecessarily; to tarry; to trifle._ To interchange caresses, especially with one of the opposite sex; to use fondling; to wanton; to sport.
Dally_v. t._ To delay unnecessarily; to while away.
Dalmania_n._ A genus of trilobites, of many species, common in the Upper Silurian and Devonian rocks.
Dalmanites_n._ Same as Dalmania.
Dalmatian_a._ Of or pertaining to Dalmatia.
Dalmatica_n._ Alt. of Dalmatic
Dalmatic_n._ A vestment with wide sleeves, and with two stripes, worn at Mass by deacons, and by bishops at pontifical Mass; -- imitated from a dress originally worn in Dalmatia._ A robe worn on state ocasions, as by English kings at their coronation.
Dal segno__ A direction to go back to the sign / and repeat from thence to the close. See Segno.
Daltonian_n._ One afflicted with color blindness.
Daltonism_n._ Inability to perceive or distinguish certain colors, esp. red; color blindness. It has various forms and degrees. So called from the chemist Dalton, who had this infirmity.
Dam_n._ A female parent; -- used of beasts, especially of quadrupeds; sometimes applied in contempt to a human mother._ A kind or crowned piece in the game of draughts._ A barrier to prevent the flow of a liquid; esp., a bank of earth, or wall of any kind, as of masonry or wood, built across a water course, to confine and keep back flowing water._ A firebrick wall, or a stone, which forms the front of the hearth of a blast furnace.
Dammed_imp. & p. p._ of Dam
Damming_p. pr. & vb. n._ of Dam
Dam_v. t._ To obstruct or restrain the flow of, by a dam; to confine by constructing a dam, as a stream of water; -- generally used with in or up._ To shut up; to stop up; to close; to restrain.
Damage_n._ Injury or harm to person, property, or reputation; an inflicted loss of value; detriment; hurt; mischief._ The estimated reparation in money for detriment or injury sustained; a compensation, recompense, or satisfaction to one party, for a wrong or injury actually done to him by another.
Damages_imp. & p. p._ of Damage
Damaging_p. pr. & vb. n._ of Damage
Damage_n._ To ocassion damage to the soudness, goodness, or value of; to hurt; to injure; to impair.
Damage_v. i._ To receive damage or harm; to be injured or impaired in soudness or value; as. some colors in /oth damage in sunlight.
Damageable_a._ Capable of being injured or impaired; liable to, or susceptible of, damage; as, a damageable cargo._ Hurtful; pernicious.
Damage feasant__ Doing injury; trespassing, as cattle.
Daman_n._ A small herbivorous mammal of the genus Hyrax. The species found in Palestine and Syria is Hyrax Syriacus; that of Northern Africa is H. Brucei; -- called also ashkoko, dassy, and rock rabbit. See Cony, and Hyrax.
Damar_n._ See Dammar.
Damascene_a._ Of or relating to Damascus.
Damascene_n._ A kind of plume, now called damson. See Damson.
Damascene_v. t._ Same as Damask, or Damaskeen, v. t. 
Damascus_n._ A city of Syria.
Damask_n._ Damask silk; silk woven with an elaborate pattern of flowers and the like._ Linen so woven that a pattern in produced by the different directions of the thread, without contrast of color._ A heavy woolen or worsted stuff with a pattern woven in the same way as the linen damask; -- made for furniture covering and hangings._" Damask or Damascus steel; also, the peculiar markings or ""water"" of such steel."_ A deep pink or rose color.
Damask_a._ Pertaining to, or originating at, the city of Damascus; resembling the products or manufactures of Damascus._ Having the color of the damask rose.
Damasked_imp. & p. p._ of Damask
Damasking_p. pr. & vb. n._ of Damask
Damask_v. t._" To decorate in a way peculiar to Damascus or attributed to Damascus; particularly: (a) with flowers and rich designs, as silk; (b) with inlaid lines of gold, etc., or with a peculiar marking or ""water,"" as metal. See Damaskeen."
Damaskeen_v._ Alt. of Damasken
Damasken_v._" To decorate, as iron, steel, etc., with a peculiar marking or ""water"" produced in the process of manufacture, or with designs produced by inlaying or incrusting with another metal, as silver or gold, or by etching, etc., to damask."
Damaskin_n._ A sword of Damask steel.
Damasse_a._ Woven like damask.
Damasse_n._ A damasse fabric, esp. one of linen.
Damassin_n._ A kind of modified damask or brocade.
Dambonite_n._ A white, crystalline, sugary substance obtained from an African caoutchouc.
Dambose_n._ A crystalline variety of fruit sugar obtained from dambonite.
Dame_n._ A mistress of a family, who is a lady; a woman in authority; especially, a lady._ The mistress of a family in common life, or the mistress of a common school; as, a dame's school._ A woman in general, esp. an elderly woman._ A mother; -- applied to human beings and quadrupeds.
Damewort_n._ A cruciferrous plant (Hesperis matronalis), remarkable for its fragrance, especially toward the close of the day; -- called also rocket and dame's violet.
Damiana_n._ A Mexican drug, used as an aphrodisiac.
Damianist_n._ A follower of Damian, patriarch of Alexandria in the 6th century, who held heretical opinions on the doctrine of the Holy Trinity.
Dammar_n._ Alt. of Dammara
Dammara_n._ An oleoresin used in making varnishes; dammar gum; dammara resin. It is obtained from certain resin trees indigenous to the East Indies, esp. Shorea robusta and the dammar pine._ A large tree of the order Coniferae, indigenous to the East Indies and Australasia; -- called also Agathis. There are several species.
Damned_imp. & p. p._ of Damn
Damning_p. pr. & vb. n._ of Damn
Damn_v. t._ To condemn; to declare guilty; to doom; to adjudge to punishment; to sentence; to censure._ To doom to punishment in the future world; to consign to perdition; to curse._ To condemn as bad or displeasing, by open expression, as by denuciation, hissing, hooting, etc.
Damn_v. i._ To invoke damnation; to curse.
Damnability_n._ The quality of being damnable; damnableness.
Damnable_a._ Liable to damnation; deserving, or for which one deserves, to be damned; of a damning nature._ Odious; pernicious; detestable.
Damnableness_n._ The state or quality of deserving damnation; execrableness.
Damnably_adv._ In a manner to incur severe censure, condemnation, or punishment._ Odiously; detestably; excessively.
Damnation_n._ The state of being damned; condemnation; openly expressed disapprobation._ Condemnation to everlasting punishment in the future state, or the punishment itself._ A sin deserving of everlasting punishment.
Damnatory_a._ Dooming to damnation; condemnatory.
Damned_a._ Sentenced to punishment in a future state; condemned; consigned to perdition._ Hateful; detestable; abominable.
Damnific_a._ Procuring or causing loss; mischievous; injurious.
Damnification_n._ That which causes damage or loss.
Damnify_v. t._ To cause loss or damage to; to injure; to impair.
Damning_a._ That damns; damnable; as, damning evidence of guilt.
Damningness_n._ Tendency to bring damnation.
damnum_n._ Harm; detriment, either to character or property.
Damosel_n._ Alt. of Damoiselle
Damosella_n._ Alt. of Damoiselle
Damoiselle_n._ See Damsel.
Damourite_n._ A kind of Muscovite, or potash mica, containing water.
Damp_n._ Moisture; humidity; fog; fogginess; vapor._ Dejection; depression; cloud of the mind._ A gaseous product, formed in coal mines, old wells, pints, etc.
Damp_superl._ Being in a state between dry and wet; moderately wet; moist; humid._ Dejected; depressed; sunk.
Damped_imp. & p. p._ of Damp
Damping_p. pr. & vb. n._ of Damp
Damp_n._ To render damp; to moisten; to make humid, or moderately wet; to dampen; as, to damp cloth._ To put out, as fire; to depress or deject; to deaden; to cloud; to check or restrain, as action or vigor; to make dull; to weaken; to discourage.
Dampened_imp. & p. p._ of Dampen
Dampening_p. pr. & vb. n._ of Dampen
Dampen_v. t._ To make damp or moist; to make slightly wet._ To depress; to check; to make dull; to lessen.
Dampen_v. i._ To become damp; to deaden.
Damper_n._ That which damps or checks; as: (a) A valve or movable plate in the flue or other part of a stove, furnace, etc., used to check or regulate the draught of air. (b) A contrivance, as in a pianoforte, to deaden vibrations; or, as in other pieces of mechanism, to check some action at a particular time.
Dampish_a._ Moderately damp or moist.
Dampne_v. t._ To damn.
Dampness_n._ Moderate humidity; moisture; fogginess; moistness.
Damp off__ To decay and perish through excessive moisture.
Dampy_a._ Somewhat damp._ Dejected; gloomy; sorrowful.
Damsel_n._ A young person, either male or female, of noble or gentle extraction; as, Damsel Pepin; Damsel Richard, Prince of Wales._ A young unmarried woman; a girl; a maiden._ An attachment to a millstone spindle for shaking the hopper.
Damson_n._ A small oval plum of a blue color, the fruit of a variety of the Prunus domestica; -- called also damask plum.
Dan_n._ A title of honor equivalent to master, or sir._ A small truck or sledge used in coal mines.
Danaide_n._ A water wheel having a vertical axis, and an inner and outer tapering shell, between which are vanes or floats attached usually to both shells, but sometimes only to one.
Danaite_n._ A cobaltiferous variety of arsenopyrite.
Danalite_n._ A mineral occuring in octahedral crystals, also massive, of a reddish color. It is a silicate of iron, zinc manganese, and glucinum, containing sulphur.
Danburite_n._ A borosilicate of lime, first found at Danbury, Conn. It is near the topaz in form.
Danced_imp. & p. p._ of Dance
Dancing_p. pr. & vb. n._ of Dance
Dance_v. i._ To move with measured steps, or to a musical accompaniment; to go through, either alone or in company with others, with a regulated succession of movements, (commonly) to the sound of music; to trip or leap rhythmically._ To move nimbly or merrily; to express pleasure by motion; to caper; to frisk; to skip about.
Dance_v. t._ To cause to dance, or move nimbly or merrily about, or up and down; to dandle.
Dance_v. i._ The leaping, tripping, or measured stepping of one who dances; an amusement, in which the movements of the persons are regulated by art, in figures and in accord with music._ A tune by which dancing is regulated, as the minuet, the waltz, the cotillon, etc.
Dancer_n._ One who dances or who practices dancing.
Danceress_n._ A female dancer.
Dancette_a._ Deeply indented; having large teeth; thus, a fess dancette has only three teeth in the whole width of the escutcheon.
Dancing_p. a. & vb. n._ from Dance.
Dancy_a._ Same as Dancette.
Dandelion_n._ A well-known plant of the genus Taraxacum (T. officinale, formerly called T. Dens-leonis and Leontodos Taraxacum) bearing large, yellow, compound flowers, and deeply notched leaves.
Dander_n._ Dandruff or scurf on the head._ Anger or vexation; rage.
Dander_v. i._ To wander about; to saunter; to talk incoherently.
Dandi_n._ A boatman; an oarsman.
Dandie_n._ One of a breed of small terriers; -- called also Dandie Dinmont.
Dandified_a._ Made up like a dandy; having the dress or manners of a dandy; buckish.
Dandified_imp. & p. p._ of Dandify
Dandifying_p. pr. & vb. n._ of Dandify
Dandify_v. t._ To cause to resemble a dandy; to make dandyish.
Dandiprat_n._ A little fellow; -- in sport or contempt._ A small coin.
Dandled_imp. & p. p._ of Dandle
Dandling_p. pr. & vb. n._ of Dandle
Dandle_v. t._ To move up and down on one's knee or in one's arms, in affectionate play, as an infant._ To treat with fondness, as if a child; to fondle; to toy with; to pet._ To play with; to put off or delay by trifles; to wheedle.
Dandler_n._ One who dandles or fondles.
Dandriff_n._ See Dandruff.
Dandruff_n._ A scurf which forms on the head, and comes off in small or particles.
Dandies_pl. _ of Dandy
Dandy_n._ One who affects special finery or gives undue attention to dress; a fop; a coxcomb._ A sloop or cutter with a jigger on which a lugsail is set._ A small sail carried at or near the stern of small boats; -- called also jigger, and mizzen._ A dandy roller. See below.
Dandy-cock_n. fem._ Alt. of Dandy-hen
Dandy-hen_n. fem._ A bantam fowl.
Dandyish_a._ Like a dandy.
Dandyism_n._ The manners and dress of a dandy; foppishness.
Dandyise_v. t. & i._ To make, or to act, like a dandy; to dandify.
Dandyling_n._ A little or insignificant dandy; a contemptible fop.
Dane_n._ A native, or a naturalized inhabitant, of Denmark.
Danegeld_n._ Alt. of Danegelt
Danegelt_n._ An annual tax formerly laid on the English nation to buy off the ravages of Danish invaders, or to maintain forces to oppose them. It afterward became a permanent tax, raised by an assessment, at first of one shilling, afterward of two shillings, upon every hide of land throughout the realm.
Danewort_n._ A fetid European species of elder (Sambucus Ebulus); dwarf elder; wallwort; elderwort; -- called also Daneweed, Dane's weed, and Dane's-blood. [Said to grow on spots where battles were fought against the Danes.]
Dang__ imp. of Ding.
Dang_v. t._ To dash.
Danger_n._ Authority; jurisdiction; control._ Power to harm; subjection or liability to penalty._ Exposure to injury, loss, pain, or other evil; peril; risk; insecurity._ Difficulty; sparingness._ Coyness; disdainful behavior.
Danger_v. t._ To endanger.
Dangerful_a._ Full of danger; dangerous.
Dangerless_a._ Free from danger.
Dangerous_a._ Attended or beset with danger; full of risk; perilous; hazardous; unsafe._ Causing danger; ready to do harm or injury._ In a condition of danger, as from illness; threatened with death._ Hard to suit; difficult to please._ Reserved; not affable.
Dangled_imp. & p. p._ of Dangle
Dangling_p. pr. & vb. n._ of Dangle
Dangle_v. i._ To hang loosely, or with a swinging or jerking motion.
Dangle_v. t._ To cause to dangle; to swing, as something suspended loosely; as, to dangle the feet.
Dangleberry_n._ A dark blue, edible berry with a white bloom, and its shrub (Gaylussacia frondosa) closely allied to the common huckleberry. The bush is also called blue tangle, and is found from New England to Kentucky, and southward.
Dangler_n._ One who dangles about or after others, especially after women; a trifler.
Daniel_n._ A Hebrew prophet distinguished for sagacity and ripeness of judgment in youth; hence, a sagacious and upright judge.
Danish_a._ Belonging to the Danes, or to their language or country.
Danish_n._ The language of the Danes.
Danite_n._ A descendant of Dan; an Israelite of the tribe of Dan._ One of a secret association of Mormons, bound by an oath to obey the heads of the church in all things.
Dank_a._ Damp; moist; humid; wet.
Dank_n._ Moisture; humidity; water._ A small silver coin current in Persia.
Dankish_a._ Somewhat dank.
Dannebrog_n._ The ancient battle standard of Denmark, bearing figures of cross and crown.
Danseuse_n._ A professional female dancer; a woman who dances at a public exhibition as in a ballet.
Dansk_a._ Danish.
Dansker_n._ A Dane.
Dantean_a._ Relating to, emanating from or resembling, the poet Dante or his writings.
Dantesque_a._ Dantelike; Dantean.
Danubian_a._ Pertaining to, or bordering on, the river Danube.
Dap_v. i._ To drop the bait gently on the surface of the water.
Dapatical_a._ Sumptuous in cheer.
Daphne_n._ A genus of diminutive Shrubs, mostly evergreen, and with fragrant blossoms._ A nymph of Diana, fabled to have been changed into a laurel tree.
Daphnetin_n._ A colorless crystalline substance, C9H6O4, extracted from daphnin.
Daphnia_n._ A genus of the genus Daphnia.
Daphnin_n._ A dark green bitter resin extracted from the mezereon (Daphne mezereum) and regarded as the essential principle of the plant._ A white, crystalline, bitter substance, regarded as a glucoside, and extracted from Daphne mezereum and D. alpina.
Daphnomancy_n._ Divination by means of the laurel.
Dapifer_n._ One who brings meat to the table; hence, in some countries, the official title of the grand master or steward of the king's or a nobleman's household.
Dapper_a._ Little and active; spruce; trim; smart; neat in dress or appearance; lively.
Dapperling_n._ A dwarf; a dandiprat.
Dapple_n._ One of the spots on a dappled animal.
Dapple_a._ Alt. of Dappled
Dappled_a._ Marked with spots of different shades of color; spotted; variegated; as, a dapple horse.
Dappled_imp. & p. p._ of Dapple
Dappling_p. pr. & vb. n._ of Dapple
Dapple_v. t._ To variegate with spots; to spot.
Darbies_n. pl._ Manacles; handcuffs.
Darby_n._ A plasterer's float, having two handles; -- used in smoothing ceilings, etc.
Darbyite_n._ One of the Plymouth Brethren, or of a sect among them; -- so called from John N. Darby, one of the leaders of the Brethren.
Dardanian_a. & n._ Trojan.
Durst_imp._ of Dare
Dared__ of Dare
Dared_p. p._ of Dare
Daring_p. pr. & vb. n._ of Dare
Dare_v. i._ To have adequate or sufficient courage for any purpose; to be bold or venturesome; not to be afraid; to venture.
Dared_imp. & p. p._ of Dare
Daring_p. pr. & vb. n._ of Dare
Dare_v. t._ To have courage for; to attempt courageously; to venture to do or to undertake._ To challenge; to provoke; to defy.
Dare_n._ The quality of daring; venturesomeness; boldness; dash._ Defiance; challenge.
Dare_v. i._ To lurk; to lie hid.
Dare_v. t._ To terrify; to daunt.
Dare_n._ A small fish; the dace.
Dare-devil_n._ A reckless fellow. Also used adjectively; as, dare-devil excitement.
Dare-deviltries_pl. _ of Dare-deviltry
Dare-deviltry_n_ Reckless mischief; the action of a dare-devil.
Dareful_a._ Full of daring or of defiance; adventurous.
Darer_n._ One who dares or defies.
Darg_n._ Alt. of Dargue
Dargue_n._ A day's work; also, a fixed amount of work, whether more or less than that of a day.
Daric_n._ A gold coin of ancient Persia, weighing usually a little more than 128 grains, and bearing on one side the figure of an archer._ A silver coin of about 86 grains, having the figure of an archer, and hence, in modern times, called a daric._ Any very pure gold coin.
Daring_n._ Boldness; fearlessness; adventurousness; also, a daring act.
Daring_a._ Bold; fearless; adventurous; as, daring spirits.
Dark_a._ Destitute, or partially destitute, of light; not receiving, reflecting, or radiating light; wholly or partially black, or of some deep shade of color; not light-colored; as, a dark room; a dark day; dark cloth; dark paint; a dark complexion._ Not clear to the understanding; not easily seen through; obscure; mysterious; hidden._ Destitute of knowledge and culture; in moral or intellectual darkness; unrefined; ignorant._ Evincing black or foul traits of character; vile; wicked; atrocious; as, a dark villain; a dark deed._ Foreboding evil; gloomy; jealous; suspicious._ Deprived of sight; blind.
Dark_n._ Absence of light; darkness; obscurity; a place where there is little or no light._ The condition of ignorance; gloom; secrecy._ A dark shade or dark passage in a painting, engraving, or the like; as, the light and darks are well contrasted.
Dark_v. t._ To darken to obscure.
Darkened_imp. & p. p._ of Darken
Darkening_p. pr. & vb. n._ of Darken
Darken_a._ To make dark or black; to deprive of light; to obscure; as, a darkened room._ To render dim; to deprive of vision._ To cloud, obscure, or perplex; to render less clear or intelligible._ To cast a gloom upon._ To make foul; to sully; to tarnish.
Darken_v. i._ To grow or darker.
Darkener_n._ One who, or that which, darkens.
