Waag_n._ The grivet.
Wadmol_n._ A coarse, hairy, woolen cloth, formerly used for garments by the poor, and for various other purposes.
Wadset_n._ A kind of pledge or mortgage.
Wadsetter_n._ One who holds by a wadset.
Wadies_pl. _ of Wady
Wady_n._ A ravine through which a brook flows; the channel of a water course, which is dry except in the rainy season.
Wae_n._ A wave.
Waeg_n._ The kittiwake.
Wafer_n._ A thin cake made of flour and other ingredients._ A thin cake or piece of bread (commonly unleavened, circular, and stamped with a crucifix or with the sacred monogram) used in the Eucharist, as in the Roman Catholic Church._ An adhesive disk of dried paste, made of flour, gelatin, isinglass, or the like, and coloring matter, -- used in sealing letters and other documents.
Wafered_imp. & p. p._ of Wafer
Wafering_p. pr. & vb. n._ of Wafer
Wafer_v. t._ To seal or close with a wafer.
Waferer_n._ A dealer in the cakes called wafers; a confectioner.
Waffle_n._ A thin cake baked and then rolled; a wafer._ A soft indented cake cooked in a waffle iron.
Wafted_imp. & p. p._ of Waft
Wafting_p. pr. & vb. n._ of Waft
Waft_v. t._ To give notice to by waving something; to wave the hand to; to beckon._ To cause to move or go in a wavy manner, or by the impulse of waves, as of water or air; to bear along on a buoyant medium; as, a balloon was wafted over the channel._ To cause to float; to keep from sinking; to buoy.
Waft_v. i._ To be moved, or to pass, on a buoyant medium; to float.
Waft_n._ A wave or current of wind._ A signal made by waving something, as a flag, in the air._ An unpleasant flavor._ A knot, or stop, in the middle of a flag.
Waftage_n._ Conveyance on a buoyant medium, as air or water.
Wafter_n._ One who, or that which, wafts._ A boat for passage.
Wafture_n._ The act of waving; a wavelike motion; a waft.
Wagged_imp. & p. p._ of Wag
Wagging_p. pr. & vb. n._ of Wag
Wag_v. t._ To move one way and the other with quick turns; to shake to and fro; to move vibratingly; to cause to vibrate, as a part of the body; as, to wag the head.
Wag_v. i._ To move one way and the other; to be shaken to and fro; to vibrate._ To be in action or motion; to move; to get along; to progress; to stir._ To go; to depart; to pack oft.
Wag_v._ The act of wagging; a shake; as, a wag of the head._ A man full of sport and humor; a ludicrous fellow; a humorist; a wit; a joker.
Wagati_n._ A small East Indian wild cat (Felis wagati), regarded by some as a variety of the leopard cat.
Waged_imp. & p. p._ of Wage
Waging_p. pr. & vb. n._ of Wage
Wage_v. t._ To pledge; to hazard on the event of a contest; to stake; to bet, to lay; to wager; as, to wage a dollar._ To expose one's self to, as a risk; to incur, as a danger; to venture; to hazard._ To engage in, as a contest, as if by previous gage or pledge; to carry on, as a war._ To adventure, or lay out, for hire or reward; to hire out._ To put upon wages; to hire; to employ; to pay wages to._ To give security for the performance of.
Wage_v. i._ To bind one's self; to engage.
Wage_v. t._ That which is staked or ventured; that for which one incurs risk or danger; prize; gage._ That for which one labors; meed; reward; stipulated payment for service performed; hire; pay; compensation; -- at present generally used in the plural.  See Wages.
Wagel_n._ See Waggel.
Wagenboom_n._ A south African proteaceous tree (Protea grandiflora); also, its tough wood, used for making wagon wheels.
Wager_v. t._ Something deposited, laid, or hazarded on the event of a contest or an unsettled question; a bet; a stake; a pledge._ A contract by which two parties or more agree that a certain sum of money, or other thing, shall be paid or delivered to one of them, on the happening or not happening of an uncertain event._ That on which bets are laid; the subject of a bet.
Wagered_imp. & p. p._ of Wager
Wagering_p. pr. & vb. n._ of Wager
Wager_v. t._ To hazard on the issue of a contest, or on some question that is to be decided, or on some casualty; to lay; to stake; to bet.
Wager_v. i._ To make a bet; to lay a wager.
Wagerer_n._ One who wagers, or lays a bet.
Wagering_a._ Hazarding; pertaining to the act of one who wagers.
Wages_n._ A compensation given to a hired person for services; price paid for labor; recompense; hire.  See Wage, n., 2.
Waggel_n._ The young of the great black-backed gull (Larus marinus), formerly considered a distinct species.
Waggeries_pl. _ of Waggery
Waggery_n._ The manner or action of a wag; mischievous merriment; sportive trick or gayety; good-humored sarcasm; pleasantry; jocularity; as, the waggery of a schoolboy.
Waggie_n._ The pied wagtail.
Waggish_a._ Like a wag; mischievous in sport; roguish in merriment or good humor; frolicsome._ Done, made, or laid in waggery or for sport; sportive; humorous; as, a waggish trick.
Waggle_v. i._ To reel, sway, or move from side to side; to move with a wagging motion; to waddle.
Waggled_imp. & p. p._ of Waggle
Waggling_p. pr. & vb. n._ of Waggle
Waggle_v. t._ To move frequently one way and the other; to wag; as, a bird waggles his tail.
Wag-halter_n._ One who moves or wears a halter; one likely to be hanged.
Wagnerite_n._ A fluophosphate of magnesia, occurring in yellowish crystals, and also in massive forms.
Wagon_n._ A wheeled carriage; a vehicle on four wheels, and usually drawn by horses; especially, one used for carrying freight or merchandise._ A freight car on a railway._ A chariot_ The Dipper, or Charles's Wain.
Wagoned_imp. & p. p._ of Wagon
Wagoning_p. pr. & vb. n._ of Wagon
Wagon_v. t._ To transport in a wagon or wagons; as, goods are wagoned from city to city.
Wagon_v. i._ To wagon goods as a business; as, the man wagons between Philadelphia and its suburbs.
Wagonage_n._ Money paid for carriage or conveyance in wagon._ A collection of wagons; wagons, collectively.
Wagoner_n._ One who conducts a wagon; one whose business it is to drive a wagon._ The constellation Charles's Wain, or Ursa Major.  See Ursa major, under Ursa.
Wagonette_n._ A kind of pleasure wagon, uncovered and with seats extended along the sides, designed to carry six or eight persons besides the driver.
Wagonfuls_pl. _ of Wagonful
Wagonful_n._ As much as a wagon will hold; enough to fill a wagon; a wagonload.
Wagon-headed_a._ Having a top, or head, shaped like the top of a covered wagon, or resembling in section or outline an inverted U, thus /; as, a wagonheaded ceiling.
Wagonload_n._ Same as Wagonful.
Wagon-roofed_a._ Having a roof, or top, shaped like an inverted U; wagon-headed.
Wagonry_n._ Conveyance by means of a wagon or wagons.
Wagonwright_n._ One who makes wagons.
Wagtail_n._ Any one of many species of Old World singing birds belonging to Motacilla and several allied genera of the family Motacillidae. They have the habit of constantly jerking their long tails up and down, whence the name.
Wah_n._ The panda.
Wahabee_n._ A follower of Abdel Wahab (b. 1691; d. 1787), a reformer of Mohammedanism. His doctrines prevail particularly among the Bedouins, and the sect, though checked in its influence, extends to most parts of Arabia, and also into India.
Waid_a._ Oppressed with weight; crushed; weighed down.
Waif_n._ Goods found of which the owner is not known; originally, such goods as a pursued thief threw away to prevent being apprehended, which belonged to the king unless the owner made pursuit of the felon, took him, and brought him to justice._ Hence, anything found, or without an owner; that which comes along, as it were, by chance._ A wanderer; a castaway; a stray; a homeless child.
Waift_n._ A waif.
Wail_v. t._ To choose; to select.
Wailed_imp. & p. p._ of Wail
Wailing_p. pr. & vb. n._ of Wail
Wail_v. t._ To lament; to bewail; to grieve over; as, to wail one's death.
Wail_v. i._ To express sorrow audibly; to make mournful outcry; to weep.
Wail_n._ Loud weeping; violent lamentation; wailing.
Wailer_n._ One who wails or laments.
Waileress_n._ A woman who wails.
Wailful_a._ Sorrowful; mournful.
Wailingly_adv._ In a wailing manner.
Wailment_n._ Lamentation; loud weeping; wailing.
Waiment_v. & n._ See Wayment.
Wain_n._ A four-wheeled vehicle for the transportation of goods, produce, etc.; a wagon._ A chariot.
Wainable_a._ Capable of being plowed or cultivated; arable; tillable.
Wainage_n._ A finding of carriages, carts, etc., for the transportation of goods, produce, etc._ See Gainage, a.
Wainbote_n._ See Cartbote.  See also the Note under Bote.
Wainscot_n._ Oaken timber or boarding._ A wooden lining or boarding of the walls of apartments, usually made in panels._ Any one of numerous species of European moths of the family Leucanidae.
Wainscoted_imp. & p. p._ of Wainscot
Wainscoting_p. pr. & vb. n._ of Wainscot
Wainscot_v. t._ To line with boards or panelwork, or as if with panelwork; as, to wainscot a hall.
Wainscoting_n._ The act or occupation of covering or lining with boards in panel._ The material used to wainscot a house, or the wainscot as a whole; panelwork.
Wainwright_n._ Same as Wagonwright.
Wair_n._ A piece of plank two yard/ long and a foot broad.
Waist_n._ That part of the human body which is immediately below the ribs or thorax; the small part of the body between the thorax and hips._ Hence, the middle part of other bodies; especially (Naut.), that part of a vessel's deck, bulwarks, etc., which is between the quarter-deck and the forecastle; the middle part of the ship._ A garment, or part of a garment, which covers the body from the neck or shoulders to the waist line._ A girdle or belt for the waist.
Waistband_n._ The band which encompasses the waist; esp., one on the upper part of breeches, trousers, pantaloons, skirts, or the like._ A sash worn by women around the waist.
Waistcloth_n._ A cloth or wrapper worn about the waist; by extension, such a garment worn about the hips and passing between the thighs._ A covering of canvas or tarpaulin for the hammocks, stowed on the nettings, between the quarterdeck and the forecastle.
Waistcoat_n._ A short, sleeveless coat or garment for men, worn under the coat, extending no lower than the hips, and covering the waist; a vest._ A garment occasionally worn by women as a part of fashionable costume.
Waistcoateer_n._ One wearing a waistcoat; esp., a woman wearing one uncovered, or thought fit for such a habit; hence, a loose woman; strumpet.
Waistcoating_n._ A fabric designed for waistcoats; esp., one in which there is a pattern, differently colored yarns being used.
Waister_n._ A seaman, usually a green hand or a broken-down man, stationed in the waist of a vessel of war.
Waited_imp. & p. p._ of Wait
Waiting_p. pr. & vb. n._ of Wait
Wait_v. i._ To watch; to observe; to take notice._ To stay or rest in expectation; to stop or remain stationary till the arrival of some person or event; to rest in patience; to stay; not to depart.
Wait_v. t._ To stay for; to rest or remain stationary in expectation of; to await; as, to wait orders._ To attend as a consequence; to follow upon; to accompany; to await._ To attend on; to accompany; especially, to attend with ceremony or respect._ To cause to wait; to defer; to postpone; -- said of a meal; as, to wait dinner.
Wait_v. i._ The act of waiting; a delay; a halt._ Ambush._ One who watches; a watchman._ Hautboys, or oboes, played by town musicians; not used in the singular._ Musicians who sing or play at night or in the early morning, especially at Christmas time; serenaders; musical watchmen.
Waiter_n._ One who, or that which, waits; an attendant; a servant in attendance, esp. at table._ A vessel or tray on which something is carried, as dishes, etc.; a salver.
Waiting__ a. & n. from Wait, v.
Waitingly_adv._ By waiting.
Waitress_n._ A female waiter or attendant; a waiting maid or waiting woman.
Waive_v. t._ A waif; a castaway._ A woman put out of the protection of the law.  See Waive, v. t., 3 (b), and the Note.
Waived_imp. & p. p._ of Waive
Waiving_p. pr. & vb. n._ of Waive
Waive_v. t._ To relinquish; to give up claim to; not to insist on or claim; to refuse; to forego._ To throw away; to cast off; to reject; to desert._ To throw away; to relinquish voluntarily, as a right which one may enforce if he chooses._ To desert; to abandon.
Waive_v. i._ To turn aside; to recede.
Waiver_n._ The act of waiving, or not insisting on, some right, claim, or privilege.
Waivure_n._ See Waiver.
Waiwode_n._ See Waywode.
Wake_n._ The track left by a vessel in the water; by extension, any track; as, the wake of an army.
Waked_imp. & p. p._ of Wake
Woke__ of Wake
Waking_p. pr. & vb. n._ of Wake
Wake_v. i._ To be or to continue awake; to watch; not to sleep._ To sit up late festive purposes; to hold a night revel._ To be excited or roused from sleep; to awake; to be awakened; to cease to sleep; -- often with up._ To be exited or roused up; to be stirred up from a dormant, torpid, or inactive state; to be active.
Wake_v. t._ To rouse from sleep; to awake._ To put in motion or action; to arouse; to excite._ To bring to life again, as if from the sleep of death; to reanimate; to revive._ To watch, or sit up with, at night, as a dead body.
Wake_n._ The act of waking, or being awaked; also, the state of being awake._ The state of forbearing sleep, especially for solemn or festive purposes; a vigil._ An annual parish festival formerly held in commemoration of the dedication of a church. Originally, prayers were said on the evening preceding, and hymns were sung during the night, in the church; subsequently, these vigils were discontinued, and the day itself, often with succeeding days, was occupied in rural pastimes and exercises, attended by eating and drinking, often to excess._ The sitting up of persons with a dead body, often attended with a degree of festivity, chiefly among the Irish.
Wakeful_a._ Not sleeping; indisposed to sleep; watchful; vigilant.
Wakened_imp. & p. pr._ of Waken
Wakening_p. pr. & vb. n._ of Waken
Waken_v. i._ To wake; to cease to sleep; to be awakened.
Waken_v. t._ To excite or rouse from sleep; to wake; to awake; to awaken._ To excite; to rouse; to move to action; to awaken.
Wakener_n._ One who wakens.
Wakening_n._ The act of one who wakens; esp., the act of ceasing to sleep; an awakening._ The revival of an action.
Waker_n._ One who wakes.
Wake-robin_n._ Any plant of the genus Arum, especially, in England, the cuckoopint (Arum maculatum).
Waketime_n._ Time during which one is awake.
Waking_n._ The act of waking, or the state or period of being awake._ A watch; a watching.
Walaway_interj._ See Welaway.
Wald_n._ A forest; -- used as a termination of names.  See Weald.
Waldenses_n. pl._ A sect of dissenters from the ecclesiastical system of the Roman Catholic Church, who in the 13th century were driven by persecution to the valleys of Piedmont, where the sect survives. They profess substantially Protestant principles.
Waldensian_a._ Of or pertaining to the Waldenses.
Waldensian_n._ One Holding the Waldensian doctrines.
Waldgrave_n._ In the old German empire, the head forest keeper.
Waldheimia_n._ A genus of brachiopods of which many species are found in the fossil state. A few still exist in the deep sea.
Wale_n._ A streak or mark made on the skin by a rod or whip; a stripe; a wheal.  See Wheal._ A ridge or streak rising above the surface, as of cloth; hence, the texture of cloth._ A timber bolted to a row of piles to secure them together and in position._ Certain sets or strakes of the outside planking of a vessel; as, the main wales, or the strakes of planking under the port sills of the gun deck; channel wales, or those along the spar deck, etc._ A wale knot, or wall knot.
Wale_v. t._ To mark with wales, or stripes._ To choose; to select; specifically (Mining), to pick out the refuse of (coal) by hand, in order to clean it.
Walhalla_n._ See Valhalla.
Waling_n._ Same as Wale, n., 4.
Walked_imp. & p. p._ of Walk
Walking_p. pr. & vb. n._ of Walk
Walk_v. i._ To move along on foot; to advance by steps; to go on at a moderate pace; specifically, of two-legged creatures, to proceed at a slower or faster rate, but without running, or lifting one foot entirely before the other touches the ground._ To move or go on the feet for exercise or amusement; to take one's exercise; to ramble._ To be stirring; to be abroad; to go restlessly about; -- said of things or persons expected to remain quiet, as a sleeping person, or the spirit of a dead person; to go about as a somnambulist or a specter._ To be in motion; to act; to move; to wag._ To behave; to pursue a course of life; to conduct one's self._ To move off; to depart.
Walk_v. t._ To pass through, over, or upon; to traverse; to perambulate; as, to walk the streets._ To cause to walk; to lead, drive, or ride with a slow pace; as to walk one's horses._ To subject, as cloth or yarn, to the fulling process; to full.
Walk_n._ The act of walking, or moving on the feet with a slow pace; advance without running or leaping._ The act of walking for recreation or exercise; as, a morning walk; an evening walk._ Manner of walking; gait; step; as, we often know a person at a distance by his walk._ That in or through which one walks; place or distance walked over; a place for walking; a path or avenue prepared for foot passengers, or for taking air and exercise; way; road; hence, a place or region in which animals may graze; place of wandering; range; as, a sheep walk._ A frequented track; habitual place of action; sphere; as, the walk of the historian._ Conduct; course of action; behavior._ The route or district regularly served by a vender; as, a milkman's walk.
Walkable_a._ Fit to be walked on; capable of being walked on or over.
Walker_n._ One who walks; a pedestrian._ That with which one walks; a foot._ A forest officer appointed to walk over a certain space for inspection; a forester.
Walker_v. t._ A fuller of cloth._ Any ambulatorial orthopterous insect, as a stick insect.
Walking__ a. & n. from Walk, v.
Walk-mill_n._ A fulling mill.
Walk-over_n._ In racing, the going over a course by a horse which has no competitor for the prize; hence, colloquially, a one-sided contest; an uncontested, or an easy, victory.
Walkyr_n._ See Valkyria.
Wall_n._ A kind of knot often used at the end of a rope; a wall knot; a wale._ A work or structure of stone, brick, or other materials, raised to some height, and intended for defense or security, solid and permanent inclosing fence, as around a field, a park, a town, etc., also, one of the upright inclosing parts of a building or a room._ A defense; a rampart; a means of protection; in the plural, fortifications, in general; works for defense._ An inclosing part of a receptacle or vessel; as, the walls of a steam-engine cylinder._ The side of a level or drift._ The country rock bounding a vein laterally.
Walled_imp. & p. p._ of Wall
Walling_p. pr. & vb. n._ of Wall
Wall_v. t._ To inclose with a wall, or as with a wall._ To defend by walls, or as if by walls; to fortify._ To close or fill with a wall, as a doorway.
Wallaba_n._ A leguminous tree (Eperua falcata) of Demerara, with pinnate leaves and clusters of red flowers. The reddish brown wood is used for palings and shingles.
Wallabies_pl. _ of Wallaby
Wallaby_n._ Any one of numerous species of kangaroos belonging to the genus Halmaturus, native of Australia and Tasmania, especially the smaller species, as the brush kangaroo (H. Bennettii) and the pademelon (H. thetidis). The wallabies chiefly inhabit the wooded district and bushy plains.
Wallah_n._ A black variety of the jaguar; -- called also tapir tiger.
Wallaroo_n._ Any one of several species of kangaroos of the genus Macropus, especially M. robustus, sometimes called the great wallaroo.
Wallbird_n._ The spotted flycatcher.
Waller_n._ One who builds walls._ The wels.
Wallerian degeneration__ A form of degeneration occurring in nerve fibers as a result of their division; -- so called from Dr. Waller, who published an account of it in 1850.
Wallet_n._ A bag or sack for carrying about the person, as a bag for carrying the necessaries for a journey; a knapsack; a beggar's receptacle for charity; a peddler's pack._ A pocketbook for keeping money about the person._ Anything protuberant and swagging.
Walleteer_n._ One who carries a wallet; a foot traveler; a tramping beggar.
Wall-eye_n._ An eye in which the iris is of a very light gray or whitish color; -- said usually of horses._ An American fresh-water food fish (Stizostedion vitreum) having large and prominent eyes; -- called also glasseye, pike perch, yellow pike, and wall-eyed perch._ A California surf fish (Holconotus argenteus)._ The alewife; -- called also wall-eyed herring.
Wall-eyed_a._ Having an eye of a very light gray or whitish color.
Wallflower_n._ A perennial, cruciferous plant (Cheiranthus Cheiri), with sweet-scented flowers varying in color from yellow to orange and deep red. In Europe it very common on old walls._ A lady at a ball, who, either from choice, or because not asked to dance, remains a spectator.
Wallhick_n._ The lesser spotted woodpecker (Dryobates minor).
Walling_n._ The act of making a wall or walls._ Walls, in general; material for walls.
Walloons_n. pl._ A Romanic people inhabiting that part of Belgium which comprises the provinces of Hainaut, Namur, Liege, and Luxembourg, and about one third of Brabant; also, the language spoken by this people. Used also adjectively.
Wallop_v. i._ To move quickly, but with great effort; to gallop.
Wallop_n._ A quick, rolling movement; a gallop.
Walloped_imp. & p. p._ of Wallop
Walloping_p. pr. & vb. n._ of Wallop
Wallop_v. i._ To boil with a continued bubbling or heaving and rolling, with noise._ To move in a rolling, cumbersome manner; to waddle._ To be slatternly.
Wallop_v. t._ To beat soundly; to flog; to whip._ To wrap up temporarily._ To throw or tumble over.
Wallop_n._ A thick piece of fat._ A blow.
Wallowed_imp. & p. p._ of Wallow
Wallowing_p. pr. & vb. n._ of Wallow
Wallow_n._ To roll one's self about, as in mire; to tumble and roll about; to move lazily or heavily in any medium; to flounder; as, swine wallow in the mire._ To live in filth or gross vice; to disport one's self in a beastly and unworthy manner._ To wither; to fade.
Wallow_v. t._ To roll; esp., to roll in anything defiling or unclean.
Wallow_n._ A kind of rolling walk.
Wallower_n._ One who, or that which, wallows._ A lantern wheel; a trundle.
Wallowish_a._ Flat; insipid.
Wall-plat_n._ The spotted flycatcher. It builds its nest on walls.
Wall-sided_a._ Having sides nearly perpendicular; -- said of certain vessels to distinguish them from those having flaring sides, or sides tumbling home (see under Tumble, v. i.).
Wallwort_n._ The dwarf elder, or danewort (Sambucus Ebulus).
Walm_v. i._ To roll; to spout; to boil up.
Walnut_n._ The fruit or nut of any tree of the genus Juglans; also, the tree, and its timber. The seven or eight known species are all natives of the north temperate zone.
Walrus_n._ A very large marine mammal (Trichecus rosmarus) of the Seal family, native of the Arctic Ocean. The male has long and powerful tusks descending from the upper jaw. It uses these in procuring food and in fighting.  It is hunted for its oil, ivory, and skin. It feeds largely on mollusks. Called also morse.
Walter_v. i._ To roll or wallow; to welter.
Waltron_n._ A walrus.
Walty_a._ Liable to roll over; crank; as, a walty ship.
Waltz_n._ A dance performed by two persons in circular figures with a whirling motion; also, a piece of music composed in triple measure for this kind of dance.
Waltzed_imp. & p. p._ of Waltz
Waltzing_p. pr. & vb. n._ of Waltz
Waltz_v. i._ To dance a waltz.
Waltzer_n._ A person who waltzes.
Walwe_v._ To wallow.
Waly_interj._ An exclamation of grief.
Wamble_v. i._ To heave; to be disturbed by nausea; -- said of the stomach._ To move irregularly to and fro; to roll.
Wamble_n._ Disturbance of the stomach; a feeling of nausea.
Wamble-cropped_a._ Sick at the stomach; also, crestfallen; dejected.
Wammel_v. i._ To move irregularly or awkwardly; to wamble, or wabble.
Wamp_n._ The common American eider.
Wampee_n._ A tree (Cookia punctata) of the Orange family, growing in China and the East Indies; also, its fruit, which is about the size of a large grape, and has a hard rind and a peculiar flavor._ The pickerel weed.
Wampum_n._ Beads made of shells, used by the North American Indians as money, and also wrought into belts, etc., as an ornament.
Wan_imp._ Won.
Wan_a._ Having a pale or sickly hue; languid of look; pale; pallid.
Wan_n._ The quality of being wan; wanness.
Wan_v. i._ To grow wan; to become pale or sickly in looks.
Wand_n._ A small stick; a rod; a verge._ A staff of authority._ A rod used by conjurers, diviners, magicians, etc.
Wandered_imp. & p. p._ of Wander
Wandering_p. pr. & vb. n._ of Wander
Wander_v. i._ To ramble here and there without any certain course or with no definite object in view; to range about; to stroll; to rove; as, to wander over the fields._ To go away; to depart; to stray off; to deviate; to go astray; as, a writer wanders from his subject._ To be delirious; not to be under the guidance of reason; to rave; as, the mind wanders.
Wander_v. t._ To travel over without a certain course; to traverse; to stroll through.
Wanderer_n._ One who wanders; a rambler; one who roves; hence, one who deviates from duty.
Wandering__ a. & n. from Wander, v.
Wanderingly_adv._ In a wandering manner.
Wanderment_n._ The act of wandering, or roaming.
Wanderoo_n._ A large monkey (Macacus silenus) native of Malabar. It is black, or nearly so, but has a long white or gray beard encircling the face. Called also maha, silenus, neelbhunder, lion-tailed baboon, and great wanderoo.
Wandy_a._ Long and flexible, like a wand.
Waned_imp. & p. p._ of Wane
Waning_p. pr. & vb. n._ of Wane
Wane_v. i._ To be diminished; to decrease; -- contrasted with wax, and especially applied to the illuminated part of the moon._ To decline; to fail; to sink.
Wane_v. t._ To cause to decrease.
Wane_n._ The decrease of the illuminated part of the moon to the eye of a spectator._ Decline; failure; diminution; decrease; declension._ An inequality in a board.
Waney_n._ A sharp or uneven edge on a board that is cut from a log not perfectly squared, or that is made in the process of squaring.  See Wany, a.
Wang_n._ The jaw, jawbone, or cheek bone._ A slap; a blow._ See Whang.
Wangan_n._ A boat for conveying provisions, tools, etc.; -- so called by Maine lumbermen.
Wanger_n._ A pillow for the cheek; a pillow.
Wanghee_n._ The Chinese name of one or two species of bamboo, or jointed cane, of the genus Phyllostachys. The slender stems are much used for walking sticks.
Wango_n._ A boomerang.
Wanhope_n._ Want of hope; despair; also, faint or delusive hope; delusion. [Obs.] Piers Plowman.
Wanhorn_n._ An East Indian plant (Kaempferia Galanga) of the Ginger family.  See Galanga.
Waniand_n._ The wane of the moon.
Waning_n._ The act or process of waning, or decreasing.
Wanion_n._ A word of uncertain signification, used only in the phrase with a wanion, apparently equivalent to with a vengeance, with a plague, or with misfortune.
Wankle_a._ Not to be depended on; weak; unstable.
Wanly_adv._ In a wan, or pale, manner.
Wanned_a._ Made wan, or pale.
Wanness_n._ The quality or state of being wan; a sallow, dead, pale color; paleness; pallor; as, the wanness of the cheeks after a fever.
Wannish_a._ Somewhat wan; of a pale hue.
Want_v. i._ The state of not having; the condition of being without anything; absence or scarcity of what is needed or desired; deficiency; lack; as, a want of power or knowledge for any purpose; want of food and clothing._ Specifically, absence or lack of necessaries; destitution; poverty; penury; indigence; need._ That which is needed or desired; a thing of which the loss is felt; what is not possessed, and is necessary for use or pleasure._ A depression in coal strata, hollowed out before the subsequent deposition took place.
Wanted_imp. & p. p._ of Want
Wanting_p. pr. & vb. n._ of Want
Want_v. t._ To be without; to be destitute of, or deficient in; not to have; to lack; as, to want knowledge; to want judgment; to want learning; to want food and clothing._ To have occasion for, as useful, proper, or requisite; to require; to need; as, in winter we want a fire; in summer we want cooling breezes._ To feel need of; to wish or long for; to desire; to crave.
Want_v. i._ To be absent; to be deficient or lacking; to fail; not to be sufficient; to fall or come short; to lack; -- often used impersonally with of; as, it wants ten minutes of four._ To be in a state of destitution; to be needy; to lack.
Wa'n't__ A colloquial contraction of was not.
Wantage_n._ That which is wanting; deficiency.
Wanting_a._ Absent; lacking; missing; also, deficient; destitute; needy; as, one of the twelve is wanting; I shall not be wanting in exertion.
Wantless_a._ Having no want; abundant; fruitful.
Wanton_v. t._ Untrained; undisciplined; unrestrained; hence, loose; free; luxuriant; roving; sportive._ Wandering from moral rectitude; perverse; dissolute._ Specifically: Deviating from the rules of chastity; lewd; lustful; lascivious; libidinous; lecherous._ Reckless; heedless; as, wanton mischief.
Wanton_n._ A roving, frolicsome thing; a trifler; -- used rarely as a term of endearment._ One brought up without restraint; a pampered pet._ A lewd person; a lascivious man or woman.
Wantoned_imp. & p. p._ of Wanton
Wantoning_p. pr. & vb. n._ of Wanton
Wanton_v. i._ To rove and ramble without restraint, rule, or limit; to revel; to play loosely; to frolic._ To sport in lewdness; to play the wanton; to play lasciviously.
Wanton_v. t._ To cause to become wanton; also, to waste in wantonness.
Wantonize_v. i._ To behave wantonly; to frolic; to wanton.
Wantonly_adv._ In a wanton manner; without regularity or restraint; loosely; sportively; gayly; playfully; recklessly; lasciviously._ Unintentionally; accidentally.
Wantonness_n._ The quality or state of being wanton; negligence of restraint; sportiveness; recklessness; lasciviousness.
Wantrust_n._ Failing or diminishing trust; want of trust or confidence; distrust.
Wantwit_n._ One destitute of wit or sense; a blockhead; a fool.
Wanty_n._ A surcingle, or strap of leather, used for binding a load upon the back of a beast; also, a leather tie; a short wagon rope.
Wany_v. i._ To wane.
Wany_a._ Waning or diminished in some parts; not of uniform size throughout; -- said especially of sawed boards or timber when tapering or uneven, from being cut too near the outside of the log._ Spoiled by wet; -- said of timber.
Wanze_v. i._ To wane; to wither.
Wap_v. t. & i._ To beat; to whap.
Wap_n._ A blow or beating; a whap.
Wapacut_n._ The American hawk owl.  See under Hawk.
