Ta_v. t._ To take.
Table_n._ A smooth, flat surface, like the side of a board; a thin, flat, smooth piece of anything; a slab._ A thin, flat piece of wood, stone, metal, or other material, on which anything is cut, traced, written, or painted; a tablet_ a memorandum book._ Any smooth, flat surface upon which an inscription, a drawing, or the like, may be produced._ Hence, in a great variety of applications: A condensed statement which may be comprehended by the eye in a single view; a methodical or systematic synopsis; the presentation of many items or particulars in one group; a scheme; a schedule._ A view of the contents of a work; a statement of the principal topics discussed; an index; a syllabus; a synopsis; as, a table of contents._ A list of substances and their properties; especially, a list of the elementary substances with their atomic weights, densities, symbols, etc._ Any collection and arrangement in a condensed form of many particulars or values, for ready reference, as of weights, measures, currency, specific gravities, etc.; also, a series of numbers following some law, and expressing particular values corresponding to certain other numbers on which they depend, and by means of which they are taken out for use in computations; as, tables of logarithms, sines, tangents, squares, cubes, etc.; annuity tables; interest tables; astronomical tables, etc._ The arrangement or disposition of the lines which appear on the inside of the hand._ An article of furniture, consisting of a flat slab, board, or the like, having a smooth surface, fixed horizontally on legs, and used for a great variety of purposes, as in eating, writing, or working._ Hence, food placed on a table to be partaken of; fare; entertainment; as, to set a good table._ The company assembled round a table._ One of the two, external and internal, layers of compact bone, separated by diploe, in the walls of the cranium._ A stringcourse which includes an offset; esp., a band of stone, or the like, set where an offset is required, so as to make it decorative. See Water table._ The board on the opposite sides of which backgammon and draughts are played._ One of the divisions of a backgammon board; as, to play into the right-hand table._ The games of backgammon and of draughts._ A circular plate of crown glass._ The upper flat surface of a diamond or other precious stone, the sides of which are cut in angles._ A plane surface, supposed to be transparent and perpendicular to the horizon; -- called also perspective plane._ The part of a machine tool on which the work rests and is fastened.
Tableed_imp. & p. p._ of Table
Tableing_p. pr. & vb. n._ of Table
Table_v. t._ To form into a table or catalogue; to tabulate; as, to table fines._ To delineate, as on a table; to represent, as in a picture._ To supply with food; to feed._ To insert, as one piece of timber into another, by alternate scores or projections from the middle, to prevent slipping; to scarf._ To lay or place on a table, as money._ In parliamentary usage, to lay on the table; to postpone, by a formal vote, the consideration of (a bill, motion, or the like) till called for, or indefinitely._ To enter upon the docket; as, to table charges against some one._ To make board hems in the skirts and bottoms of (sails) in order to strengthen them in the part attached to the boltrope.
Table_v. i._ To live at the table of another; to board; to eat.
Tableaux_pl. _ of Tableau
Tableau_n._ A striking and vivid representation; a picture._ A representation of some scene by means of persons grouped in the proper manner, placed in appropriate postures, and remaining silent and motionless.
Tableaux vivants_pl. _ of Tableau vivant
Tableau vivant__ Same as Tableau, n., 2.
Tablebook_n._ A tablet; a notebook.
Tablecloth_n._ A cloth for covering a table, especially one with which a table is covered before the dishes, etc., are set on for meals.
Tables d'hote_pl. _ of Table d'hote
Table d'hote__ A common table for guests at a hotel; an ordinary.
Table-land_n._ A broad, level, elevated area of land; a plateau.
Tablemen_pl. _ of Tableman
Tableman_n._ A man at draughts; a piece used in playing games at tables. See Table, n., 10.
Tablement_n._ A table.
Tabler_n._ One who boards._ One who boards others for hire.
Tablespoon_n._ A spoon of the largest size commonly used at the table; -- distinguished from teaspoon, dessert spoon, etc.
Tablespoonfuls_pl. _ of Tablespoonful
Tablespoonful_n._ As much as a tablespoon will hold; enough to fill a tablespoon. It is usually reckoned as one half of a fluid ounce, or four fluid drams.
Tablet_n._ A small table or flat surface._ A flat piece of any material on which to write, paint, draw, or engrave; also, such a piece containing an inscription or a picture._ Hence, a small picture; a miniature._ A kind of pocket memorandum book._ A flattish cake or piece; as, tablets of arsenic were formerly worn as a preservative against the plague._ A solid kind of electuary or confection, commonly made of dry ingredients with sugar, and usually formed into little flat squares; -- called also lozenge, and troche, especially when of a round or rounded form.
Tableware_n._ Ware, or articles collectively, for table use.
Tabling_n._ A forming into tables; a setting down in order._ The letting of one timber into another by alternate scores or projections, as in shipbuilding._ A broad hem on the edge of a sail._ Board; support._ Act of playing at tables. See Table, n., 10.
Taboo_n._ A total prohibition of intercourse with, use of, or approach to, a given person or thing under pain of death, -- an interdict of religious origin and authority, formerly common in the islands of Polynesia; interdiction.
Tabooed_imp. & p. p._ of Taboo
Tabooing_p. pr. & vb. n._ of Taboo
Taboo_v. t._ To put under taboo; to forbid, or to forbid the use of; to interdict approach to, or use of; as, to taboo the ground set apart as a sanctuary for criminals.
Tabor_n._ A small drum used as an accompaniment to a pipe or fife, both being played by the same person.
Tabored_imp. & p. p._ of Tabor
Taboring_p. pr. & vb. n._ of Tabor
Tabor_v. i._ To play on a tabor, or little drum._ To strike lightly and frequently.
Tabor_v. t._ To make (a sound) with a tabor.
Taborer_n._ One who plays on the tabor.
Taboret_n._ A small tabor.
Taborine_n._ A small, shallow drum; a tabor.
Taborite_n._ One of certain Bohemian reformers who suffered persecution in the fifteenth century; -- so called from Tabor, a hill or fortress where they encamped during a part of their struggles.
Tabour_n. & v._ See Tabor.
Tabouret_n._ Same as Taboret._ A seat without arms or back, cushioned and stuffed: a high stool; -- so called from its resemblance to a drum._ An embroidery frame.
Tabrere_n._ A taborer.
Tabret_n._ A taboret.
Tabu_n. & v._ See Taboo.
Tabulae_pl. _ of Tabula
Tabula_n._ A table; a tablet._ One of the transverse plants found in the calicles of certain corals and hydroids.
Tabular_a._ Having the form of, or pertaining to, a table (in any of the uses of the word)._ Having a flat surface; as, a tabular rock._ Formed into a succession of flakes; laminated._ Set in squares._ Arranged in a schedule; as, tabular statistics._ Derived from, or computed by, the use of tables; as, tabular right ascension.
Tabularization_n._ The act of tabularizing, or the state of being tabularized; formation into tables; tabulation.
Tabularized_imp. & p. p._ of Tabularize
Tabularizing_p. pr. & vb. n._ of Tabularize
Tabularize_v. t._ To tabulate.
Tabulata_n. pl._ An artificial group of stony corals including those which have transverse septa in the calicles. The genera Pocillopora and Favosites are examples.
Tabulated_imp. & p. p._ of Tabulate
Tabulating_p. pr. & vb. n._ of Tabulate
Tabulate_v. t._ To form into a table or tables; to reduce to tables or synopses._ To shape with a flat surface.
Tabulation_n._ The act of forming into a table or tables; as, the tabulation of statistics.
Tac_n._ A kind of customary payment by a tenant; -- a word used in old records.
Tacamahac_n._ Alt. of Tacamahaca
Tacamahaca_n._ A bitter balsamic resin obtained from tropical American trees of the genus Elaphrium (E. tomentosum and E. Tacamahaca), and also from East Indian trees of the genus Calophyllum; also, the resinous exhudation of the balsam poplar._ Any tree yielding tacamahac resin, especially, in North America, the balsam poplar, or balm of Gilead (Populus balsamifera).
Tacaud_n._ The bib, or whiting pout.
Tace_n._ The cross, or church, of St. Antony. See Illust. (6), under Cross, n._ See Tasse.
Tacet_v.impers._ It is silent; -- a direction for a vocal or instrumental part to be silent during a whole movement.
Tache_n._ Something used for taking hold or holding; a catch; a loop; a button._ A spot, stain, or blemish.
Tachhydrite_n._ A hydrous chloride of calcium and magnesium occurring in yellowish masses which rapidly deliquesce upon exposure. It is found in the salt mines at Stassfurt.
Tachinae_pl. _ of Tachina
Tachina_n._ Any one of numerous species of Diptera belonging to Tachina and allied genera. Their larvae are external parasites of other insects.
Tachometer_n._ An instrument for measuring the velocity, or indicating changes in the velocity, of a moving body or substance._ An instrument for measuring the velocity of running water in a river or canal, consisting of a wheel with inclined vanes, which is turned by the current. The rotations of the wheel are recorded by clockwork._ An instrument for showing at any moment the speed of a revolving shaft, consisting of a delicate revolving conical pendulum which is driven by the shaft, and the action of which by change of speed moves a pointer which indicates the speed on a graduated dial._ An instrument for measuring the velocity of the blood; a haematachometer.
Tachydidaxy_n._ A short or rapid method of instructing.
Tachyglossa_n. pl._ A division of monotremes which comprises the spiny ant-eaters of Australia and New Guinea. See Illust. under Echidna.
Tachygraphic_a._ Alt. of Tachygraphical
Tachygraphical_a._ Of or pertaining to tachygraphy; written in shorthand.
Tachygraphy_n._ The art or practice of rapid writing; shorthand writing; stenography.
Tachylyte_n._ A vitreous form of basalt; -- so called because decomposable by acids and readily fusible.
Tacit_a._ Done or made in silence; implied, but not expressed; silent; as, tacit consent is consent by silence, or by not interposing an objection.
Taciturn_a._ Habitually silent; not given to converse; not apt to talk or speak.
Taciturnity_n._ Habilual silence, or reserve in speaking.
Tack_n._ A stain; a tache._ A peculiar flavor or taint; as, a musty tack._ A small, short, sharp-pointed nail, usually having a broad, flat head._ That which is attached; a supplement; an appendix. See Tack, v. t., 3.
Tack_v. t._ A rope used to hold in place the foremost lower corners of the courses when the vessel is closehauled (see Illust. of Ship); also, a rope employed to pull the lower corner of a studding sail to the boom._ The part of a sail to which the tack is usually fastened; the foremost lower corner of fore-and-aft sails, as of schooners (see Illust. of Sail)._ The direction of a vessel in regard to the trim of her sails; as, the starboard tack, or port tack; -- the former when she is closehauled with the wind on her starboard side; hence, the run of a vessel on one tack; also, a change of direction._ A contract by which the use of a thing is set, or let, for hire; a lease._ Confidence; reliance.
Tacked_imp. & p. p._ of Tack
Tacking_p. pr. & vb. n._ of Tack
Tack_v. t._ To fasten or attach._ Especially, to attach or secure in a slight or hasty manner, as by stitching or nailing; as, to tack together the sheets of a book; to tack one piece of cloth to another; to tack on a board or shingle; to tack one piece of metal to another by drops of solder._ In parliamentary usage, to add (a supplement) to a bill; to append; -- often with on or to._ To change the direction of (a vessel) when sailing closehauled, by putting the helm alee and shifting the tacks and sails so that she will proceed to windward nearly at right angles to her former course.
Tack_v. i._ To change the direction of a vessel by shifting the position of the helm and sails; also (as said of a vessel), to have her direction changed through the shifting of the helm and sails. See Tack, v. t., 4.
Tacker_n._ One who tacks.
Tacket_n._ A small, broad-headed nail.
Tackey_a. & n._ See Tacky.
Tacking_n._ A union of securities given at different times, all of which must be redeemed before an intermediate purchaser can interpose his claim.
Tackle_n._ Apparatus for raising or lowering heavy weights, consisting of a rope and pulley blocks; sometimes, the rope and attachments, as distinct from the block._ Any instruments of action; an apparatus by which an object is moved or operated; gear; as, fishing tackle, hunting tackle; formerly, specifically, weapons._ The rigging and apparatus of a ship; also, any purchase where more than one block is used.
Tackled_imp. & p. p._ of Tackle
Tackling_p. pr. & vb. n._ of Tackle
Tackle_n._ To supply with tackle._ To fasten or attach, as with a tackle; to harness; as, to tackle a horse into a coach or wagon._ To seize; to lay hold of; to grapple; as, a wrestler tackles his antagonist; a dog tackles the game._ To begin to deal with; as, to tackle the problem.
Tackled_a._ Made of ropes tacked together.
Tackling_n._ Furniture of the masts and yards of a vessel, as cordage, sails, etc._ Instruments of action; as, fishing tackling._ The straps and fixures adjusted to an animal, by which he draws a carriage, or the like; harness.
Tacksmen_pl. _ of Tacksman
Tacksman_n._ One who holds a tack or lease from another; a tenant, or lessee.
Tacky_a._ Sticky; adhesive; raw; -- said of paint, varnish, etc., when not well dried.
Taconic_a._ Designating, or pertaining to, the series of rocks forming the Taconic mountains in Western New England. They were once supposed to be older than the Cambrian, but later proved to belong to the Lower Silurian and Cambrian.
Tact_n._ The sense of touch; feeling._ The stroke in beating time._ Sensitive mental touch; peculiar skill or faculty; nice perception or discernment; ready power of appreciating and doing what is required by circumstances.
Tactable_a._ Capable of being touched; tangible.
Tactic_a._ Alt. of Tactical
Tactical_a._ Of or pertaining to the art of military and naval tactics.
Tactic_n._ See Tactics.
Tactician_n._ One versed in tactics; hence, a skillful maneuverer; an adroit manager.
Tactics_n._ The science and art of disposing military and naval forces in order for battle, and performing military and naval evolutions. It is divided into grand tactics, or the tactics of battles, and elementary tactics, or the tactics of instruction._ Hence, any system or method of procedure.
Tactile_a._ Of or pertaining to the organs, or the sense, of touch; perceiving, or perceptible, by the touch; capable of being touched; as, tactile corpuscles; tactile sensations.
Tactility_n._ The quality or state of being tactile; perceptibility by touch; tangibleness.
Taction_n._ The act of touching; touch; contact; tangency.
Tactless_a._ Destitute of tact.
Tactual_a._ Of or pertaining to the sense, or the organs, of touch; derived from touch.
Tadpole_n._ The young aquatic larva of any amphibian. In this stage it breathes by means of external or internal gills, is at first destitute of legs, and has a finlike tail. Called also polliwig, polliwog, porwiggle, or purwiggy._ The hooded merganser.
Taedium_n._ See Tedium.
Tael_n._ A denomination of money, in China, worth nearly six shillings sterling, or about a dollar and forty cents; also, a weight of one ounce and a third.
Taen__ Alt. of Ta'en
Ta'en__ p. p. of Ta, to take, or a contraction of Taken.
Taeniae_pl. _ of Taenia
Taenia_n._ A genus of intestinal worms which includes the common tapeworms of man. See Tapeworm._ A band; a structural line; -- applied to several bands and lines of nervous matter in the brain._ The fillet, or band, at the bottom of a Doric frieze, separating it from the architrave.
Taeniada_n. pl._ Same as Taenioidea.
Taeniata_n. pl._ A division of Ctenophora including those which have a long, ribbonlike body. The Venus's girdle is the most familiar example.
Taenidia_pl. _ of Taenidium
Taenidium_n._ The chitinous fiber forming the spiral thread of the tracheae of insects. See Illust. of Trachea.
Taenioglossa_n. pl._ An extensive division of gastropod mollusks in which the odontophore is long and narrow, and usually bears seven rows of teeth. It includes a large number of families both marine and fresh-water.
Taenioglossate_a._ Of or pertaining to the Taenioglossa.
Taenioid_a._ Ribbonlike; shaped like a ribbon._ Like or pertaining to Taenia.
Taenioidea_n. pl._ The division of cestode worms which comprises the tapeworms. See Tapeworm.
Taeniolae_pl. _ of Taeniola
Taeniola_n._ One of the radial partitions which separate the internal cavities of certain medusae.
Taeniosomi_n. pl._ An order of fishes remarkable for their long and compressed form. The ribbon fishes are examples. See Ribbon fish, under Ribbon.
Tafferer_n._ See Taffrail.
Taffeta_n._ Alt. of Taffety
Taffety_n._ A fine, smooth stuff of silk, having usually the wavy luster called watering. The term has also been applied to different kinds of silk goods, from the 16th century to modern times.
Taffrail_n._ The upper part of a ship's stern, which is flat like a table on the top, and sometimes ornamented with carved work; the rail around a ship's stern.
Taffy_n._ A kind of candy made of molasses or brown sugar boiled down and poured out in shallow pans._ Flattery; soft phrases.
Tafia_n._ A variety of rum.
Tag_n._ Any slight appendage, as to an article of dress; something slight hanging loosely; specifically, a direction card, or label._ A metallic binding, tube, or point, at the end of a string, or lace, to stiffen it._ The end, or catchword, of an actor's speech; cue._ Something mean and paltry; the rabble._ A sheep of the first year._ A sale of usually used items (such as furniture, clothing, household items or bric-a-brac), conducted by one or a small group of individuals, at a location which is not a normal retail establishment.
Tagged_imp. & p. p._ of Tag
Tagging_p. pr. & vb. n._ of Tag
Tag_v. t._ To fit with, or as with, a tag or tags._ To join; to fasten; to attach._ To follow closely after; esp., to follow and touch in the game of tag. See Tag, a play.
Tag_v. i._ To follow closely, as it were an appendage; -- often with after; as, to tag after a person.
Tag_v._ A child's play in which one runs after and touches another, and then runs away to avoid being touched.
Tagbelt_n._ Same as Tagsore.
Tagger_n._ One who, or that which, appends or joins one thing to another._ That which is pointed like a tag._ Sheets of tin or other plate which run below the gauge._ A device for removing taglocks from sheep.
Taglet_n._ A little tag.
Taglia_n._ A peculiar combination of pulleys.
Tagliacotain_a._ Of or pertaining to Tagliacozzi, a Venetian surgeon; as, the Tagliacotian operation, a method of rhinoplasty described by him.
Taglioni_n._ A kind of outer coat, or overcoat; -- said to be so named after a celebrated Italian family of professional dancers.
Taglock_n._ An entangled lock, as of hair or wool.
Tagnicate_n._ The white-lipped peccary.
Tag-rag_n. & a._ The lowest class of people; the rabble.  Cf. Rag, tag, and bobtail, under Bobtail.
Tagsore_n._ Adhesion of the tail of a sheep to the wool from excoriation produced by contact with the feces; -- called also tagbelt.
Tagtail_n._ A worm which has its tail conspicuously colored._ A person who attaches himself to another against the will of the latter; a hanger-on.
Taguan_n._ A large flying squirrel (Pteromys petuarista). Its body becomes two feet long, with a large bushy tail nearly as long.
Taguicati_n._ The white-lipped peccary.
Taha_n._ The African rufous-necked weaver bird (Hyphantornis texor).
Tahaleb_n._ A fox (Vulpes Niloticus) of Northern Africa.
Tahitian_a._ Of or pertaining to Tahiti, an island in the Pacific Ocean.
Tahitian_n._ A native inhabitant of Tahiti.
Tahr_n._ Same as Thar.
Tail_n._ Limitation; abridgment.
Tail_a._ Limited; abridged; reduced; curtailed; as, estate tail.
Tail_n._ The terminal, and usually flexible, posterior appendage of an animal._ Any long, flexible terminal appendage; whatever resembles, in shape or position, the tail of an animal, as a catkin._ Hence, the back, last, lower, or inferior part of anything, -- as opposed to the head, or the superior part._ A train or company of attendants; a retinue._" The side of a coin opposite to that which bears the head, effigy, or date; the reverse; -- rarely used except in the expression ""heads or tails,"" employed when a coin is thrown up for the purpose of deciding some point by its fall."_ The distal tendon of a muscle._ A downy or feathery appendage to certain achenes. It is formed of the permanent elongated style._ A portion of an incision, at its beginning or end, which does not go through the whole thickness of the skin, and is more painful than a complete incision; -- called also tailing._ One of the strips at the end of a bandage formed by splitting the bandage one or more times._ A rope spliced to the strap of a block, by which it may be lashed to anything._ The part of a note which runs perpendicularly upward or downward from the head; the stem._ Same as Tailing, 4._ The bottom or lower portion of a member or part, as a slate or tile._ See Tailing, n., 5.
Tail_v. t._ To follow or hang to, like a tail; to be attached closely to, as that which can not be evaded._ To pull or draw by the tail.
Tail_v. i._ To hold by the end; -- said of a timber when it rests upon a wall or other support; -- with in or into._ To swing with the stern in a certain direction; -- said of a vessel at anchor; as, this vessel tails down stream.
Tailage_n._ See Tallage.
Tail-bay_n._ One of the joists which rest one end on the wall and the other on a girder; also, the space between a wall and the nearest girder of a floor.  Cf. Case-bay._ The part of a canal lock below the lower gates.
Tailblock_n._ A block with a tail. See Tail, 9.
Tailboard_n._ The board at the rear end of a cart or wagon, which can be removed or let down, for convenience in loading or unloading.
Tailed_a._ Having a tail; having (such) a tail or (so many) tails; -- chiefly used in composition; as, bobtailed, longtailed, etc.
Tailing_n._ The part of a projecting stone or brick inserted in a wall._ Same as Tail, n., 8 (a)._ Sexual intercourse._ The lighter parts of grain separated from the seed threshing and winnowing; chaff._ The refuse part of stamped ore, thrown behind the tail of the buddle or washing apparatus. It is dressed over again to secure whatever metal may exist in it.  Called also tails.
Taille_n._ A tally; an account scored on a piece of wood._ Any imposition levied by the king, or any other lord, upon his subjects._ The French name for the tenor voice or part; also, for the tenor viol or viola.
Tailless_a._ Having no tail.
Taillie_n._ Same as Tailzie.
Tailor_n._ One whose occupation is to cut out and make men's garments; also, one who cuts out and makes ladies' outer garments._ The mattowacca; -- called also tailor herring._ The silversides._ The goldfish.
Tailored_imp. & p. p._ of Tailor
Tailoring_p. pr. & vb. n._ of Tailor
Tailor_v. i._ To practice making men's clothes; to follow the business of a tailor.
Tailoress_n._ A female tailor.
Tailoring_adv._ The business or the work of a tailor or a tailoress.
Tailpiece_n._ A piece at the end; an appendage._ One of the timbers which tail into a header, in floor framing. See Illust. of Header._ An ornament placed at the bottom of a short page to fill up the space, or at the end of a book._ A piece of ebony or other material attached to the lower end of a violin or similar instrument, to which the strings are fastened.
Tailpin_n._ The center in the spindle of a turning lathe.
Tailrace_n._ See Race, n., 6._ The channel in which tailings, suspended in water, are conducted away.
Tailstock_n._ The sliding block or support, in a lathe, which carries the dead spindle, or adjustable center. The headstock supports the live spindle.
Tail-water_n._ Water in a tailrace.
Tailzie_n._ An entailment or deed whereby the legal course of succession is cut off, and an arbitrary one substituted.
Tain_n._ Thin tin plate; also, tin foil for mirrors.
Taint_n._ A thrust with a lance, which fails of its intended effect._ An injury done to a lance in an encounter, without its being broken; also, a breaking of a lance in an encounter in a dishonorable or unscientific manner.
Tainted_imp. & p. p._ of Taint
Tainting_p. pr. & vb. n._ of Taint
Taint_v. i._ To thrust ineffectually with a lance.
Taint_v. t._ To injure, as a lance, without breaking it; also, to break, as a lance, but usually in an unknightly or unscientific manner._ To hit or touch lightly, in tilting._ To imbue or impregnate with something extraneous, especially with something odious, noxious, or poisonous; hence, to corrupt; to infect; to poison; as, putrid substance taint the air._ Fig.: To stain; to sully; to tarnish.
Taint_v. i._ To be infected or corrupted; to be touched with something corrupting._ To be affected with incipient putrefaction; as, meat soon taints in warm weather.
Taint_n._ Tincture; hue; color; tinge._ Infection; corruption; deprivation._ A blemish on reputation; stain; spot; disgrace.
Taintless_a._ Free from taint or infection; pure.
Taintlessly_adv._ In a taintless manner.
Tainture_n._ Taint; tinge; difilement; stain; spot.
Taintworm_n._ A destructive parasitic worm or insect larva.
Taira_n._ Same as Tayra.
Tairn_n._ See Tarn.
Tait_n._ A small nocturnal and arboreal Australian marsupial (Tarsipes rostratus) about the size of a mouse. It has a long muzzle, a long tongue, and very few teeth, and feeds upon honey and insects. Called also noolbenger.
Tajacu_n._ Alt. of Tajassu
Tajassu_n._ The common, or collared, peccary.
Take_p. p._ Taken.
Took_imp._ of Take
Takend_p. p._ of Take
Taking_p. pr. & vb. n._ of Take
Take_v. t._ In an active sense; To lay hold of; to seize with the hands, or otherwise; to grasp; to get into one's hold or possession; to procure; to seize and carry away; to convey._ To obtain possession of by force or artifice; to get the custody or control of; to reduce into subjection to one's power or will; to capture; to seize; to make prisoner; as, to take am army, a city, or a ship; also, to come upon or befall; to fasten on; to attack; to seize; -- said of a disease, misfortune, or the like._ To gain or secure the interest or affection of; to captivate; to engage; to interest; to charm._ To make selection of; to choose; also, to turn to; to have recourse to; as, to take the road to the right._ To employ; to use; to occupy; hence, to demand; to require; as, it takes so much cloth to make a coat._ To form a likeness of; to copy; to delineate; to picture; as, to take picture of a person._ To draw; to deduce; to derive._ To assume; to adopt; to acquire, as shape; to permit to one's self; to indulge or engage in; to yield to; to have or feel; to enjoy or experience, as rest, revenge, delight, shame; to form and adopt, as a resolution; -- used in general senses, limited by a following complement, in many idiomatic phrases; as, to take a resolution; I take the liberty to say._ To lead; to conduct; as, to take a child to church._ To carry; to convey; to deliver to another; to hand over; as, he took the book to the bindery._ To remove; to withdraw; to deduct; -- with from; as, to take the breath from one; to take two from four._ In a somewhat passive sense, to receive; to bear; to endure; to acknowledge; to accept._ To accept, as something offered; to receive; not to refuse or reject; to admit._ To receive as something to be eaten or dronk; to partake of; to swallow; as, to take food or wine._ Not to refuse or balk at; to undertake readily; to clear; as, to take a hedge or fence._ To bear without ill humor or resentment; to submit to; to tolerate; to endure; as, to take a joke; he will take an affront from no man._ To admit, as, something presented to the mind; not to dispute; to allow; to accept; to receive in thought; to entertain in opinion; to understand; to interpret; to regard or look upon; to consider; to suppose; as, to take a thing for granted; this I take to be man's motive; to take men for spies._ To accept the word or offer of; to receive and accept; to bear; to submit to; to enter into agreement with; -- used in general senses; as, to take a form or shape.
Take_v. i._ To take hold; to fix upon anything; to have the natural or intended effect; to accomplish a purpose; as, he was inoculated, but the virus did not take._ To please; to gain reception; to succeed._ To move or direct the course; to resort; to betake one's self; to proceed; to go; -- usually with to; as, the fox, being hard pressed, took to the hedge._ To admit of being pictured, as in a photograph; as, his face does not take well.
Take_n._ That which is taken; especially, the quantity of fish captured at one haul or catch._ The quantity or copy given to a compositor at one time.
Take-in_n._ Imposition; fraud.
Taken__ p. p. of Take.
Take-off_n._ An imitation, especially in the way of caricature.
Taker_n._ One who takes or receives; one who catches or apprehends.
Take-up_n._ That which takes up or tightens; specifically, a device in a sewing machine for drawing up the slack thread as the needle rises, in completing a stitch.
Taking_a._ Apt to take; alluring; attracting._ Infectious; contageous.
Taking_n._ The act of gaining possession; a seizing; seizure; apprehension._ Agitation; excitement; distress of mind._ Malign influence; infection.
Taking-off_n._ Removal; murder. See To take off (c), under Take, v. t.
Talapoin_n._ A small African monkey (Cercopithecus, / Miopithecus, talapoin) -- called also melarhine.
Talaria_n. pl._ Small wings or winged shoes represented as fastened to the ankles, -- chiefly used as an attribute of Mercury.
Talbot_n._ A sort of dog, noted for quick scent and eager pursuit of game.
Talbotype_n._ Same as Calotype.
Talc_n._ A soft mineral of a soapy feel and a greenish, whitish, or grayish color, usually occurring in foliated masses. It is hydrous silicate of magnesia. Steatite, or soapstone, is a compact granular variety.
Talcose_a._ Alt. of Talcous
Talcous_a._ Of or pertaining to talc; composed of, or resembling, talc.
Tale_n._ See Tael.
Tale_v. i._ That which is told; an oral relation or recital; any rehearsal of what has occured; narrative; discourse; statement; history; story._ A number told or counted off; a reckoning by count; an enumeration; a count, in distinction from measure or weight; a number reckoned or stated._ A count or declaration._ To tell stories.
Talebearer_n._ One who officiously tells tales; one who impertinently or maliciously communicates intelligence, scandal, etc., and makes mischief.
Talebearing_a._ Telling tales officiously.
Talebearing_n._ The act of informing officiously; communication of sectrts, scandal, etc., maliciously.
Taled_n._ A kind of quadrangular piece of cloth put on by the Jews when repeating prayers in the synagogues.
Taleful_a._ Full of stories.
